dataset,sample_id,urdu_text,audio_duration_sec,ref_gen_similarity,ref_self_similarity
fleurs,0,ان کے دور میں خفیف تلوُّث ایزا مسئلہ نہیں تھا جیسا کہ وہ آج ہے ان کی سکونت ایسے شہروں یا حوزات میں ہے جہا ں تک بآسانی پہنچا جا سکتا ہے بہ نسبت ان مقامات کے جو ماڈرن زمانے میں تعمیر کئے گئے,12.24,0.5291166305541992,0.9230803847312927
fleurs,1,فلپائنی فوٹوگرافروں کے ساتھ چھےاغوا شدگان کو جلد رہا کر دیا گیا تھا جِن میں بچّے اور بُوڑھے شامل تھے,6.24,0.5797271728515625,0.8647093176841736
fleurs,2,اس کے لانبے جبڑوں میں 70 سے زیادہ استرے سے تیز دانت جڑے تھے اور اسی کے ساتھ اس کے منہ کے تالو میں دانتوں کی ایک مزید لڑی تھی اس کے معنی یہ ہیں کہ اس کے راستہ میں آنے والی کوئی شے اس سے بھاگ نہیں سکتی,12.12,0.5503682494163513,0.9433476328849792
fleurs,3,اکتوبر میں شروع ہونے والے حکومت مخالف مظاہروں پر مارٹیلی کا ردعمل کمیشن تھا,7.56,0.5229050517082214,0.8513346314430237
fleurs,4,ہسپتال نے انفیکشن پر قابو پانے کے لیے پروٹوکول کی تقلید کی ہے جس میں مریض کو دیگر سے علیحدہ کرنا شامل ہے تاکہ دیگر افراد کے ممکنہ انفیکشن سے بچا جا سکے,10.44,0.5208858251571655,0.8958492279052734
fleurs,5,یہ سمجھدار معلوم ہوتا ہے کیوں کہ زمین ایسا محسوس نہیں کرتی ہے کہ جیسے وہ حرکت کررہی ہے کیا ایسا کرتی ہے,8.82,0.5251213908195496,0.80245041847229
fleurs,6,اُتاوا کناڈا کی دلکشی دو زبانی دارالحکومت ہے اور وہاں متعدد آرٹ گیلریاں اور عجائب گھر ہیں جو کناڈا کے ماضی اور حال کی عکاس ہیں,10.8,0.5931522250175476,0.8967022895812988
fleurs,7,جو کوئی اونچے ارض البلد میں گاڑی چلانے جا رہا ہو یا پہاڑیوں سے گزر رہا ہو انہیں ممکنہ برف باری آئس یا منجمد کرنے والے درجہ حرارت کا خیال رکھنا چاہئے,10.38,0.5319472551345825,0.9305310845375061
fleurs,8,آپ کے ہاتھ پر موجود نمی بیرونی سطح کے خلاف ردعمل ظاہر کرے گی جس سے سنسناہٹ سی محسوس ہو گی اور ایک خول نما شئے بنا دے گی,9.96,0.536679208278656,0.9059149622917175
fleurs,9,بالی میں دیگر ایجنڈے میں دنیا کے باقی ماندہ جنگلات کا تحفظ اور کم آلودگی کے طریقے سے ترقی کرنے کیلئے ترقی پذیر ممالک کے ساتھ ٹیکنالوجز کا اشتراک کرنے کا موضوع شامل کیا گیا,11.34,0.502396285533905,0.9461979866027832
fleurs,10,اٹلانٹک ہریکین سیزن کے دسواں نامی طوفان سب ٹراپیکل اسٹارم جیری آج بحراوقیانوس میں بن گیا,10.62,0.5282880067825317,0.8696190714836121
fleurs,11,آسٹریلیا کے مائیکل گورلی نے مردوں کے اسٹینڈنگ سوپر جی میں گیارہواں مقام حاصل کیا جب کہ مردوں کے سیٹنگ سوپر-جی میں چیک کے حریف اولڈریچ جیلنیک چھٹے مقام پر رہے,11.94,0.5437930226325989,0.9472740292549133
fleurs,12,بکریوں کو غالباً سب سے پہلے ایران کے زغروز پہاڑوں میں قریباً 10،000 سال پہلے گھروں میں پالا گیا۔,8.88,0.5179494023323059,0.8265128135681152
fleurs,13,جس عہد میں یہ واقعات پیش آئے اسے عام طور پر 11ویں، 12ویں، اور 13ویں صدی 1000–1300عیسوی میں یوروپی تاریخ عہد کا قرون وسطی کہا جاتا ہے۔,9.18,0.5309703350067139,0.9052085876464844
fleurs,14,ایلویس بنیادی طور پر دو یا دو سے زیادہ دھاتوں کا مرکب ہوتا ہے یہ مت بھولئے کہ کیمیائی دوری جدول پر بہت سے عناصر موجود ہوتے ہیں,8.7,0.5630428194999695,0.9287222027778625
commonvoice,0,کس لئے، کس بڑے مقصد کے حصول کیلئے؟,4.86,0.6733540296554565,0.802588701248169
commonvoice,1,گوادر کا علاقہ عمان سے خریدا گیا تھا۔,5.22,0.5947422981262207,0.832623302936554
commonvoice,2,خود کو سننھالو,3.1,0.5696858167648315,0.6481006145477295
commonvoice,3,ہم بھی وہاں گئے۔,2.45,0.4302641749382019,0.5857769846916199
commonvoice,4,تو گرین ہاؤس ایفیکٹ سے مراد کچھ یوں لی جاتی ہے,5.15,0.5298589468002319,0.7621012926101685
commonvoice,5,باضابطہ طور پر پڑھا ہے اور پاکستان میں شاید وہ واحد,5.44,0.6677405834197998,0.79218989610672
commonvoice,6,ارشد کا وزن بڑھ,3.06,0.4481624364852905,0.7215223908424377
commonvoice,7,جیمی کہتی ہیں اس بات کی واضح شواہد موجود ہیں پلیٹ دو حصوں میں ٹوٹ رہی ہی۔,8.64,0.5796585083007812,0.7729230523109436
commonvoice,8,تم ایسا کہنے والے کون ہو,3.82,0.5563744306564331,0.7137922644615173
commonvoice,9,جب موسم گل ہر پھیرے میں آ آ کے دوبارا گزرے تھا,6.3,0.5772647261619568,0.800683856010437
commonvoice,10,گھر میں قید ہو کر رہ گئی,3.78,0.6071162819862366,0.8146796226501465
commonvoice,11,زیادہ کا بزنس کیا۔,3.28,0.5463792085647583,0.5402148365974426
commonvoice,12,مختلف پرندے نمودار ہوتے ہیں,3.82,0.5066443681716919,0.6316628456115723
commonvoice,13,پھر بھی تم لوگ بعض نہیں آتے ۔,4.25,0.5974323153495789,0.6791349649429321
commonvoice,14,خود ساختہ اصول کے تحت فیصلہ کیا تھا,5.08,0.5411427021026611,0.7909960746765137
urdutts,0,کیوں زیاں کار بنوں سود فراموش رہوں,4.37,0.7027730941772461,0.7557542324066162
urdutts,1,فکر فردا نہ کروں محو غم دوش رہوں,4.4,0.7107516527175903,0.7452480792999268
urdutts,2,نال بلبل کے سنوں اور ہمہ تن گوش رہوں,4.02,0.6665695905685425,0.8291032314300537
urdutts,3,ہم نوا میں بھی کوئی گل ہوں کہ خاموش رہوں,3.91,0.654839277267456,0.726538896560669
urdutts,4,جرأت آموز مری تاب سخن ہے مجھ کوشکوہ اللہ سے خاکم بدہن ہے مجھ کو,8.52,0.6987031102180481,0.8704150915145874
urdutts,5,ہے بجا شیوہ تسلیم میں مشہور ہیں ہم,4.2,0.5960900187492371,0.7174742817878723
urdutts,6,قصۂ درد سناتے ہیں کہ مجبور ہیں ہم,4.39,0.6471225619316101,0.8333619832992554
urdutts,7,ساز خاموش ہیں فریاد سے معمور ہیں ہم نالہ آتا ہے اگر لب پہ تو معذور ہیں ہم اے خدا شکوۂ اربابِ وفا بھی سن لے,11.56,0.7577842473983765,0.9157273769378662
urdutts,8,خوگر حمد سے تھوڑا سا گلا بھی سن لے,4.38,0.6437833905220032,0.7635807991027832
urdutts,9,تھی تو موجود ازل سے ہی تری ذاتِ قدیم,4.27,0.6845186948776245,0.6516016721725464
urdutts,10,پھول تھا زیبِ چمن، پر نہ پریشان تھی شمیم شرطِ انصاف ہے اے صاحبِ الطافِ عمیم بُوئے گل پھیلتی کس طرح جو ہوتی نہ نسیم,12.73,0.7145054936408997,0.9097366333007812
urdutts,11,ہم کو جمعیتِ خاطر یہ پریشانی تھی۔,3.39,0.653353214263916,0.7407429218292236
urdutts,12,ورنہ امت ترے محبوب کی دیوانی تھی۔,3.63,0.6234841346740723,0.7025223970413208
urdutts,13,ہم سے پہلے تھا عجب تیرے جہاں کا منظر,4.48,0.6082665920257568,0.8191089630126953
urdutts,14,کہیں مسجود تھے پتھر کہیں معبود شجر خوگرے پہ کر احساس تھی انسان کی نظر مانتا پھر کوئی ان دیکھے خدا کو کیوں کر,12.98,0.6828905344009399,0.90067458152771
urduspeech,0,سچ تو یہ ہے، کہ ہم ہی بیوقوف تھے۔,2.74,0.581008791923523,0.7792460918426514
urduspeech,1,میں اسٹور سے پانی خریدنے سے گھبرا گیا تھا کیونکہ وہ متبادلات فروخت کرنے کے لیے جانے جاتے تھے۔,7.26,0.6001258492469788,0.8391904234886169
urduspeech,2,احمد شاہ ابدالی نے کُل سات حملے کیے جن میں سے چوتھے اور پانچویں حملے میں دہلی پہنچا۔,6.53,0.6020654439926147,0.8877203464508057
urduspeech,3,انہیں اطلاع ملی کہ ایک ظالم کمانڈر نے دو نو عمر لڑکیوں کو اغواہ کر لیا ہے، ان کے سر مونڈ دئے ہیں اور انہیں مردانہ لباس پہنا کر اپنے فوجی کیمپ لے گیا ہے جہاں کٸی بار ان کی عصمت دری کی گٸی ہیں ۔,15.68,0.5944963097572327,0.9585993885993958
urduspeech,4,یہ تو بہت اچھی بات ہے۔,1.51,0.43875932693481445,0.7610559463500977
urduspeech,5,زنانی سواریاں سکھپالوں اور چنڈولوں میں سوار تھیں ۔,4.78,0.5649183988571167,0.7936145067214966
urduspeech,6,انہوں نے رکن پارلیمنٹ کی حیثیت سے اپنا استعفی پیش کر دیا ۔,4.52,0.5454641580581665,0.8245316743850708
urduspeech,7,گگّو یا گگو منڈی ضلع وہاڑی کی تحصیل بورے والا میں ملتان دہلی روڈ پر بورے والا عارفوالہ کے درمیان واقع ایک قصبہ ہے ۔,10.62,0.6177843809127808,0.8931955099105835
urduspeech,8,سری ندھی شیٹی کی رینا دیسائی کو بیجا طور پر زیادہ دکھایا جاتا ہے اور وہ صرف ہیرو کی اسٹوری لائن کو آگے بڑھانے کے لیے ہے۔,9.88,0.6090092062950134,0.9227505326271057
urduspeech,9,بولا ۔,0.41,0.49023666977882385,0.8495169878005981
urduspeech,10,انہیں منفرد ضروریات والے بچوں کو صحیح مدد فراہم کرنے کے لیے ڈیزائن کیا جاتا ہے، عملہ رکھا جاتا ہے اور ان کے پاس اس کے لیے وسائل ہوتے ہیں۔,12.52,0.5828657150268555,0.9221035838127136
urduspeech,11,اس شمارے کے مشمولات بھی حسب معمول مجلس ادارت کے ذوق سلیم اور حسن انتخاب کی عمدہ مثال ہیں ۔,8.12,0.623332142829895,0.9343282580375671
urduspeech,12,میں بہت دنوں سے تمہیں کال کرنے کا سوچ رہا ہوں لیکن وقت نہیں ملا۔,4.49,0.5165200233459473,0.8273776769638062
urduspeech,13,میں ہارر فلم کے پہلے حصے میں پیش کردہ تشدد اور خون خرابے سے پریشان تھا لیکن سیکوئل اس سے بھی برا تھا۔,10.17,0.5703290104866028,0.8940656781196594
urduspeech,14,آپ کے ہوٹل میں اب تک کا قیام ایک ڈراؤنے خواب جیسا رہا ہے جس میں گندے کمرے ہیں اور الیکٹرکل فٹنگز کام نہیں کر رہیں۔,10.83,0.671944260597229,0.9126327037811279
