domain,ref,gen,stem,ok,tts_model,formal_subset,mcd_db,mcd_db_librosa,f0_rmse_cents,f0_rmse_cents_raw,f0_fpe_cents,f0_gpe,f0_mae_hz,n_dtw_frames,n_f0_frames_used,fastdtw_dist
Conversational,/home/ali-jafar/Speech_Git_folder/speech-nlp/Conversational/mushra_CONV_datasets_edgetts/eval_urduspeech/reference/urduspeech_01.wav,/home/ali-jafar/Speech_Git_folder/speech-nlp/Conversational/mushra_CONV_datasets_edgetts/eval_urduspeech/generated_edgetts/urduspeech_01.wav,urduspeech_01,True,edgetts,,6.077684275155593,415.92006190671907,383.7152655405087,384.39649722017305,169.11373385905716,0.42920353982300885,19.426636967555627,1180,904,105916.7866490685
Conversational,/home/ali-jafar/Speech_Git_folder/speech-nlp/Conversational/mushra_CONV_datasets_edgetts/eval_urduspeech/reference/urduspeech_02.wav,/home/ali-jafar/Speech_Git_folder/speech-nlp/Conversational/mushra_CONV_datasets_edgetts/eval_urduspeech/generated_edgetts/urduspeech_02.wav,urduspeech_02,True,edgetts,,6.809197297652852,451.12587808773003,584.2612658678296,590.3812765809034,168.4479106928071,0.6645569620253164,31.60204948686155,1283,948,109852.49256055521
Conversational,/home/ali-jafar/Speech_Git_folder/speech-nlp/Conversational/mushra_CONV_datasets_edgetts/eval_urduspeech/reference/urduspeech_03.wav,/home/ali-jafar/Speech_Git_folder/speech-nlp/Conversational/mushra_CONV_datasets_edgetts/eval_urduspeech/generated_edgetts/urduspeech_03.wav,urduspeech_03,True,edgetts,,4.983679831522065,425.2810193077301,477.3293403639529,485.281849397067,161.39595109076973,0.45288753799392095,26.327927400426425,585,329,46849.213846865314
Conversational,/home/ali-jafar/Speech_Git_folder/speech-nlp/Conversational/mushra_CONV_datasets_edgetts/eval_urduspeech/reference/urduspeech_04.wav,/home/ali-jafar/Speech_Git_folder/speech-nlp/Conversational/mushra_CONV_datasets_edgetts/eval_urduspeech/generated_edgetts/urduspeech_04.wav,urduspeech_04,True,edgetts,,4.78097583609753,422.68019900218997,664.9789399872958,767.0744375538884,166.1018764517181,0.6007751937984496,49.43338115874568,478,258,47990.09388468606
Conversational,/home/ali-jafar/Speech_Git_folder/speech-nlp/Conversational/mushra_CONV_datasets_edgetts/eval_urduspeech/reference/urduspeech_05.wav,/home/ali-jafar/Speech_Git_folder/speech-nlp/Conversational/mushra_CONV_datasets_edgetts/eval_urduspeech/generated_edgetts/urduspeech_05.wav,urduspeech_05,True,edgetts,,3.5068903601475805,338.3930669736058,300.5640905050825,323.2070665410964,151.14184183976602,0.5165562913907285,21.104534706617592,395,151,36924.14124291778
Conversational,/home/ali-jafar/Speech_Git_folder/speech-nlp/Conversational/mushra_CONV_datasets_edgetts/eval_urduspeech/reference/urduspeech_06.wav,/home/ali-jafar/Speech_Git_folder/speech-nlp/Conversational/mushra_CONV_datasets_edgetts/eval_urduspeech/generated_edgetts/urduspeech_06.wav,urduspeech_06,True,edgetts,,7.253196284762603,443.5505511374852,472.28578249315376,539.8075899385298,186.1377019749355,0.5917098445595855,28.15653369691575,1363,965,114545.57543308307
Conversational,/home/ali-jafar/Speech_Git_folder/speech-nlp/Conversational/mushra_CONV_datasets_edgetts/eval_urduspeech/reference/urduspeech_07.wav,/home/ali-jafar/Speech_Git_folder/speech-nlp/Conversational/mushra_CONV_datasets_edgetts/eval_urduspeech/generated_edgetts/urduspeech_07.wav,urduspeech_07,True,edgetts,,7.036690293034114,509.2126311195822,501.77965876276465,509.57090119973606,147.2819785860496,0.5132450331125827,26.044219691094877,857,604,79690.67620714792
Conversational,/home/ali-jafar/Speech_Git_folder/speech-nlp/Conversational/mushra_CONV_datasets_edgetts/eval_urduspeech/reference/urduspeech_08.wav,/home/ali-jafar/Speech_Git_folder/speech-nlp/Conversational/mushra_CONV_datasets_edgetts/eval_urduspeech/generated_edgetts/urduspeech_08.wav,urduspeech_08,True,edgetts,,6.170276756886789,439.6886697438376,449.4342435400159,456.2685325692043,166.6841633222242,0.4954337899543379,22.688062947090533,1290,876,99999.18885161215
Conversational,/home/ali-jafar/Speech_Git_folder/speech-nlp/Conversational/mushra_CONV_datasets_edgetts/eval_urduspeech/reference/urduspeech_09.wav,/home/ali-jafar/Speech_Git_folder/speech-nlp/Conversational/mushra_CONV_datasets_edgetts/eval_urduspeech/generated_edgetts/urduspeech_09.wav,urduspeech_09,True,edgetts,,3.961642186442385,406.8420136787003,536.0783472733026,548.2203677767019,172.41112776872387,0.6470588235294118,32.14283422395282,735,340,54995.6068962956
Conversational,/home/ali-jafar/Speech_Git_folder/speech-nlp/Conversational/mushra_CONV_datasets_edgetts/eval_urduspeech/reference/urduspeech_10.wav,/home/ali-jafar/Speech_Git_folder/speech-nlp/Conversational/mushra_CONV_datasets_edgetts/eval_urduspeech/generated_edgetts/urduspeech_10.wav,urduspeech_10,True,edgetts,,4.934714319378871,391.6428685855524,388.3913711346204,400.77340439894266,147.27721168486926,0.29980276134122286,17.352141488475883,741,507,54381.14288787661
Conversational,/home/ali-jafar/Speech_Git_folder/speech-nlp/Conversational/mushra_CONV_datasets_edgetts/eval_urduspeech/reference/urduspeech_11.wav,/home/ali-jafar/Speech_Git_folder/speech-nlp/Conversational/mushra_CONV_datasets_edgetts/eval_urduspeech/generated_edgetts/urduspeech_11.wav,urduspeech_11,True,edgetts,,5.762171975079016,439.69480567567547,370.46298646546484,397.77177469146176,164.68631556373242,0.4666666666666667,22.04418787547602,949,735,74940.12642813404
Conversational,/home/ali-jafar/Speech_Git_folder/speech-nlp/Conversational/mushra_CONV_datasets_edgetts/eval_urduspeech/reference/urduspeech_12.wav,/home/ali-jafar/Speech_Git_folder/speech-nlp/Conversational/mushra_CONV_datasets_edgetts/eval_urduspeech/generated_edgetts/urduspeech_12.wav,urduspeech_12,True,edgetts,,6.764210829691404,473.4797280197345,496.2906980801272,501.49198372576814,153.15080138381177,0.4460285132382892,24.673344543550304,799,491,70829.9961342259
Conversational,/home/ali-jafar/Speech_Git_folder/speech-nlp/Conversational/mushra_CONV_datasets_edgetts/eval_urduspeech/reference/urduspeech_13.wav,/home/ali-jafar/Speech_Git_folder/speech-nlp/Conversational/mushra_CONV_datasets_edgetts/eval_urduspeech/generated_edgetts/urduspeech_13.wav,urduspeech_13,True,edgetts,,5.016198284468494,485.19880001364703,420.41232225931327,457.1301982754707,142.92785032575472,0.3013698630136986,20.01650714030235,595,365,53328.60331229591
Conversational,/home/ali-jafar/Speech_Git_folder/speech-nlp/Conversational/mushra_CONV_datasets_edgetts/eval_urduspeech/reference/urduspeech_14.wav,/home/ali-jafar/Speech_Git_folder/speech-nlp/Conversational/mushra_CONV_datasets_edgetts/eval_urduspeech/generated_edgetts/urduspeech_14.wav,urduspeech_14,True,edgetts,,6.1578549477966895,444.80470050239165,512.5335423982364,514.8924109435656,185.4885114098639,0.5522565320665083,27.658875768000645,1209,842,95622.61771883313
Conversational,/home/ali-jafar/Speech_Git_folder/speech-nlp/Conversational/mushra_CONV_datasets_edgetts/eval_urduspeech/reference/urduspeech_15.wav,/home/ali-jafar/Speech_Git_folder/speech-nlp/Conversational/mushra_CONV_datasets_edgetts/eval_urduspeech/generated_edgetts/urduspeech_15.wav,urduspeech_15,True,edgetts,,7.065012273249537,429.98069903558905,559.0848126381726,559.8806522597239,168.8540553235893,0.5346420323325635,31.980188890227485,1127,866,85552.4439635676
Conversational,/home/ali-jafar/Speech_Git_folder/speech-nlp/Conversational/mushra_CONV_datasets_edgetts/eval_urduspeech/reference/urduspeech_16.wav,/home/ali-jafar/Speech_Git_folder/speech-nlp/Conversational/mushra_CONV_datasets_edgetts/eval_urduspeech/generated_edgetts/urduspeech_16.wav,urduspeech_16,True,edgetts,,7.220939800022967,512.8401146744767,494.8451325780535,587.1041603078771,169.62502436297225,0.5922330097087378,31.163099000406945,1181,824,124617.3954015827
Conversational,/home/ali-jafar/Speech_Git_folder/speech-nlp/Conversational/mushra_CONV_datasets_edgetts/eval_urduspeech/reference/urduspeech_17.wav,/home/ali-jafar/Speech_Git_folder/speech-nlp/Conversational/mushra_CONV_datasets_edgetts/eval_urduspeech/generated_edgetts/urduspeech_17.wav,urduspeech_17,True,edgetts,,6.712757961680374,478.23853221427356,527.575455340267,540.0705373395731,165.0577071742988,0.5254777070063694,28.74665262300994,2366,1884,211788.11891524657
Conversational,/home/ali-jafar/Speech_Git_folder/speech-nlp/Conversational/mushra_CONV_datasets_edgetts/eval_urduspeech/reference/urduspeech_18.wav,/home/ali-jafar/Speech_Git_folder/speech-nlp/Conversational/mushra_CONV_datasets_edgetts/eval_urduspeech/generated_edgetts/urduspeech_18.wav,urduspeech_18,True,edgetts,,5.961713237752597,467.48425603585537,616.91572149026,643.9602528552132,163.40053669018778,0.6725219573400251,37.28489296678715,1222,797,110090.0437926067
Conversational,/home/ali-jafar/Speech_Git_folder/speech-nlp/Conversational/mushra_CONV_datasets_edgetts/eval_urduspeech/reference/urduspeech_19.wav,/home/ali-jafar/Speech_Git_folder/speech-nlp/Conversational/mushra_CONV_datasets_edgetts/eval_urduspeech/generated_edgetts/urduspeech_19.wav,urduspeech_19,True,edgetts,,4.917568672778889,387.75043129696866,520.68165160276,589.3039334488003,165.66805581036365,0.5543071161048689,33.53765143914426,513,267,41357.709064726325
