sample_id,emotion,urdu_text,ref_gen_similarity
0,افسردہ,بہت برا ہوں,0.5908653140068054
1,افسردہ,میں ساری زندگی جہاں ارا سے نفرت کرتا رہا,0.5143954157829285
2,افسردہ,اور اس کی سزا میں نے تمہیں بھی دی,0.5997533798217773
3,افسردہ,دل میں تھوڑی گنجائش پیدا کر لیتا تو تین زندگیاں اسان ہو جاتی,0.6584678888320923
4,افسردہ,میں جہاں ارا اور تم ہم اکٹھے رہتے,0.6276286840438843
5,بوریت,اچھا چلیں اپ کہتی ہیں تو مان لیتا ہوں,0.5749183893203735
6,بوریت,تنہا انسان تو بالکل خاک کی طرح ہوتا ہے,0.5784881114959717
7,بوریت,اس لیے کہ میں نے کبھی پیار سے اس کو بولا ہی نہیں ہے,0.578465461730957
8,بوریت,ہاں مگر روح بن کر زندگی کو ضرور نگل جاتی ہے,0.6512912511825562
9,بوریت,لاکھ ان کو دل سے نکالنا چاہو نہیں نکلتے,0.569874107837677
10,خوشی,بتاؤ بیٹا کیا چاہیے تمہیں,0.475069522857666
11,خوشی,مہمان اگئے کون کون اگیا,0.4514971971511841
12,خوشی,ارے اپا شکریہ,0.505085825920105
13,خوشی,اپ کے ہاتھوں کی لسی کی تو بات ہی کچھ اور ہے,0.5621167421340942
14,خوشی,اکیلی ائی ہو حسان نہیں ایا اؤ اؤ اؤ,0.429353803396225
15,خوف,دعا کرو کہ وہ کسی مشکل میں ہو تبھی اسے ہوش ائے گا,0.5924283266067505
16,خوف,میں سمجھتا ہوں کہ بچیوں کو اس طرح وہاں بھیجنا کچھ مناسب نہیں لگتا,0.5283207297325134
17,خوف,جھوٹ مت بولو گیتی بتاؤ کس کا فون ہے یہ,0.5963968634605408
18,خوف,اسی مہینے ظفر اور گیتی کا نکاح کر دیتے ہیں,0.6139148473739624
19,خوف,میں کسی بھی بڑی مشکل سے بچنا چاہتا ہوں,0.5504712462425232
20,غصہ,اور تم سارے شہر میں یہ ڈھنڈورا پیٹتی آ رہی ہو ,0.5990868210792542
21,غصہ,تم نہیں سمجھ رہی ہو تمہیں سمجھ نہیں آ رہی ہے,0.5300864577293396
22,غصہ,نکلو یہاں سے باہر، چلو جاؤ,0.5029522180557251
23,غصہ,بکواس کر رہے ہو تم,0.5123670101165771
24,غصہ,اگر اسے بات کرنے کی تمیز نہیں ہے تو اسے اس گھر میں بھی رہنے کی کوئی ضرورت نہیں ہے,0.5449797511100769
25,ناگواری,موسی میری انکھ میں انکھ ڈال کر بات کر تاکہ جو میں سوال کروں اس کا جواب تیری انکھ میں پڑھ سکوں,0.5715651512145996
26,ناگواری,جو ادمی باپ کے پیسے جوئے میں اڑاے اس سے کیا امید رکھی جا سکتی ہے چلو راحیلہ صاحبزادے کو ارام کرنے دو,0.6069236993789673
27,ناگواری,کیا کروں ان سب کا باقی کام تو تم سے ہو نہیں رہے,0.5655025243759155
28,ناگواری,باہر دانے کا بندوبست نہیں کیا موٹر خراب پڑی ہے مکینک نہیں ایا,0.5674296617507935
29,ناگواری,یہ جو ہڈ ہرامی ہے نا سخت ناپسند ہے مجھے,0.5002514123916626
