dataset,sample_id,urdu_text,audio_duration_sec,ref_gen_similarity,ref_self_similarity
fleurs,fleurs_01,یہ نظریہ اس دعوی کی تردید کرتا ہے کہ چاند مکمل طور پر ارضیاتی سرگرمی سے محروم ہے,9.48,0.5315998792648315,1.0
fleurs,fleurs_02,اس کی باقیات سے بیشتر جزیروں میں بارش ہوئی ہے حالانکہ ابھی تک اس سے کسی قسم کے نقصان یا سیلاب کی اطلاع نہیں ہے,10.32,0.6234559416770935,1.0
fleurs,fleurs_03,u.s. کے مطابق اسے ایک پوشیدہ ذریعے سے معلومات موصول ہوئی ہیں جو خاص طور پر ایتھوپیا اور کینیا میں نمایاں علاقوں کو تباہ کرنے کے لیے خودکش بمباروں کو استعمال کرنے کی نشاندہی کرتی ہیں,19.38,0.5235949754714966,1.0
fleurs,fleurs_04,وہ دن میں اردگرد کی سطح کی نسبت زیادہ ٹھنڈے اور رات میں زیادہ گرم ہوتے ہیں,6.84,0.6378596425056458,1.0
fleurs,fleurs_05,رضاعی نگہداشت کا مقصد ان تمام ضروریات کی تکمیل ہے جو اس گھر موجود نہیں تھے جہاں سے انہیں لایا گیا تھا,10.14,0.46930503845214844,1.0000001192092896
fleurs,fleurs_06,نیچے سے یہ بہت دشوار دکھائی دیتا ہے اور یہ ڈھلانی اور چڑھا ئی میں دشوار ہے لیکن اکثر تندرست لوگ اس پر 45 منٹ میں میں چڑھ سکتے ہیں,13.5,0.5062858462333679,1.0
fleurs,fleurs_07,مینار کا سب سے اوپر حصہ خاص اور مقدس مقام تھا خدا کے لیے,7.56,0.6148285269737244,1.0
fleurs,fleurs_08,سب سے پہلے بجلی ٹھیک کرنے کے لئے سوئچ کو بند کرنے یا کیبل منقطع کرنے کی ضرورت ہے,8.52,0.49000680446624756,1.0
fleurs,fleurs_09,پیٹھ پر سامان لاد کر برف پر پھسلنا اس عمل کو بیک کنٹری اسکی اسکی ٹورنگ یا اسکی ہائیکنگ بھی کہتے ہیں,11.04,0.5988921523094177,1.0
fleurs,fleurs_10,انیسویں اور بیسویں صدی کے دوران ایک طویل عرصے تک یہ سمجھا جاتا رہا کہ نیوزی لینڈ کے پہلے باشندے ماوری لوگ تھے جو ماوس نامی بڑے پرندے شکار کرتے تھے,14.58,0.5165619254112244,1.0
fleurs,fleurs_11,اس کیس کو ورجینیا میں فائل کیا گیا کیوں کہ یہ سر بر آوردہ انٹرنیٹ سرویس پرووائڈ ر کمپنی اے او ایل کا مستقر ہے اور جس نے ان اتہامات کو شہ دی,19.38,0.5104440450668335,1.0
fleurs,fleurs_12,سات پوائنٹس کے ساتھ پچھڑتے ہوئے، 2،243 کے ساتھ جانسن دوسرے نمبر پر ہے۔,10.44,0.5039833784103394,1.0
fleurs,fleurs_13,آج سویرے ہوائؤں کی رفتار تقریباً 83 کلومیٹر فی گھنٹہ تھی اور امید تھی کہ کم ہو جائے گی,11.82,0.5214899778366089,1.0
fleurs,fleurs_14,اکثر و بیشتر طعن و تشنیع کا شکار قاعدہ ثلاثی کسی تصویر میں نظم و ضبط کو برقرار رکھتے ہوئے حرکیت پیدا کرنے کے لئے واحد ہدایت کا کام کرتا ہے,16.32,0.4982827305793762,1.0
fleurs,fleurs_15,خون کے بہاؤ کو جاری رکھنے کے ساتھ-ساتھ مطمئن رکھنے کیلئے جسم کے ذریعہ عصبی حرکات بھیج کر عصبی نظام حیاتیات کو برقرار رکھتا ہے,17.7,0.5743973255157471,1.0
fleurs,fleurs_16,ہوا اور لہروں کے ذریعہ فضا میں اڑانے والے متآثرہ پانی کا سانس لینے سے انسان متاثر ہوسکتے ہیں,10.56,0.5237475037574768,1.0000001192092896
fleurs,fleurs_17,اس کا مطلب ہے کہ آپ کچھ دنوں کے لیے دن کے مکمل حصے میں تاریخی شہر کا دورہ کر سکتے ہیں اور رات میں واپس آ کر جہاز پر سو سکتے ہیں,9.9,0.48066654801368713,1.0
fleurs,fleurs_18,کچھ ممالک میں پہلی بار جرم سرزد کرنے والوں کیلئے بھی نہایت ظالمانہ سزا موجود ہے ان میں 10 سالوں تک جیل یا موت کی سزا شامل ہے,10.92,0.46742215752601624,1.0000001192092896
fleurs,fleurs_19,تلوار بازی کا جدید کھیل یونیورسٹی میں پڑھنے والے طلبہ سے لے کر پیشہ ور اور اولمپک کے مقابلوں تک کافی سطحوں پر کھیلا جاتا ہے,12.12,0.47974443435668945,1.0
fleurs,fleurs_20,لونو میں 160-120 کیوبک میٹر ایندھن تھا جب یہ خراب ہو گیا اور تیز ہوا اور لہروں نے اس کو ساحل پر بنی روکاٹ میں دھکیل دیا,12.48,0.5506716370582581,1.0
fleurs,fleurs_21,انسان ہزاروں برسوں سے بڑی بینائی کے لئے چشمے بناتے رہے ہیں اور اسے استعمال کرتے رہے ہیں,8.7,0.526750385761261,1.0
fleurs,fleurs_22,زیادہ تر ٹیلی ویژن لوگوں کو خوش کرنے کیلئے بنائے گئے ہیں,6.96,0.510735034942627,1.0
fleurs,fleurs_23,بہت سی عمارتیں دیکھنے کے لحاظ سےکافی خوبصورت ہیں اور کسی بلند عمارت سے یا کسی بہترین جگہ پر موجود کھڑکی سے اس کا نظارہ قابل دید ہوتا ہے,10.08,0.5582281947135925,1.0000001192092896
fleurs,fleurs_24,ڈاؤن ہل سنو اسپورٹس جس میں اسکیئنگ اور اسنوبورڈنگ شامل ہیں وہ مقبول ترین کھیل ہیں جس میں کھلاڑی برف سے ڈھکی چٹانوں پر اسکیز یا اپنے پیر میں اسنوبورڈ لگا کر نیچے کی طرف پھسلتے ہیں,18.06,0.49496039748191833,1.0
fleurs,fleurs_25,میں خوش ہوں کہ ایسے لوگ موجود ہیں جو میری حمایت پر آمادہ ہیں,6.72,0.5497846603393555,1.0
fleurs,fleurs_26,سردست کربی میکسلو قلعہ ایک حقیقی قلعے سے زیادہ ایک مضبوط گھر کی حیثیت رکھتا ہے,9.12,0.506817102432251,1.0
fleurs,fleurs_27,اب جاپان کے لئے جاپان ایک جزیروں پر مُشتمل ملک تھا بالکل برطانیہ کی طرح,8.82,0.5265262722969055,1.0
fleurs,fleurs_28,تمہارا پاسپورٹ سفر کی تاریخوں سے 6 ماہ بعد تک صالح رہنا چاہئے اپنے قیام کی مدت ثابت کرنے کے دونوں طرف کے سفر کا یا روانگی کا ٹکٹ درکار ہے,14.88,0.5564286708831787,1.0
fleurs,fleurs_29,1995ء میں اسے پارٹیزن کی تاریخ میں بہترین کھلاڑی قرار دیا گیا,6.96,0.6089940071105957,1.0
fleurs,fleurs_30,اپنے عروج پر، سرطانی طوفان گونو، جسے مالدیپ کی زبان میں کھجور کے پتوں کے تھیلے کا نام دیا گیا ہے، ہوائیں 240 کلومیٹر فی گھنٹہ 149 میل فی گھنٹہ کی رفتار سے پہنچ گئیں۔,16.86,0.4472731351852417,1.0
urduspeech,urduspeech_01,آشوب چشم کی شناخت آنکھ کی جھلی کی سوزش سے ہوتی ہے، جو جلن اور سرخ پن سے ظاہر ہوتی ہے۔,6.713,0.7688571810722351,1.0
urduspeech,urduspeech_02,جَبہَۃُ الاَکْراد شام کی خانہ جنگی میں شامل ایک کرد گروہ ہے۔,4.875,0.7408967018127441,1.0
urduspeech,urduspeech_03,ایسا لگتا ہے کہ یہ نام میدانی ہاکی کی فرانسیسی اصطلاح لی جیو ڈی لا کراس سے نکلا ہے۔,6.014,0.7577357888221741,1.0
urduspeech,urduspeech_04,اس رکاوٹ سے نمٹنے کے لیے، حکومت ہند جی او آئی نے ستمبر انیسو چوسٹھ میں ایک اعلیٰ سطحی کمیٹی کا تقرر کیا تھا.,8.959,0.7216469645500183,1.0
urduspeech,urduspeech_05,سری وینکٹیشورا نیشنل پارک بھارت کے آندھرا پردیش میں ایک قومی پارک اور حَياتی کُرّہ ہے۔,6.541,0.8312690854072571,1.0
urduspeech,urduspeech_06,مرزا ابو الفضل حاجی علی شیرازی کے پڑ پوتے تھے۔ سنہ عیسوی اٹھارہ سو پینسٹھ میں پیدا ہوئے۔,7.054,0.8130951523780823,1.0
urduspeech,urduspeech_07,شائستہ خان نے علاقے سے پرتگالی اور اراکانی قزاقوں کا خاتمہ کیا، اور سولہ سو چھیاسٹھ  میں اراکانی بادشاہ سَندا تھدھمّا سے چٹاگانگ کی بندرگاہ کو دوبارہ حاصل کر لیا۔,14.204,0.7709439396858215,1.0
urduspeech,urduspeech_08,بلیک آؤٹ کے دوران سائٹ پر جانے والے صارفین کو ایک پیغام نظر آئے گا جس میں ان سے اپنے نمائندوں اور سینیٹروں کو ای میل کرنے کی ہدایت دی جائے گی۔,10.638,0.7243449687957764,1.0
urduspeech,urduspeech_09,غزوۂ اُحد کے بعد فتحِ مکہ تک جس قدر غزوات ہوئے، حضرت طلحہ بن عُبَیدُ اللہ رضی اللہ تعالیٰ عنہ سب میں نمایاں طور پر شریک رہے، بیعتِ رضوان کے وقت بھی موجود تھے اور شرفِ بیعت سے مُشَرَّف ہوئے۔,14.536,0.8118590116500854,1.0
urduspeech,urduspeech_10,آخر کار بھوت بھی کھڑکھڑاہٹ کے ساتھ ختم ہو جاتا ہے۔,4.226,0.7578496336936951,1.0
