sample_id,emotion,urdu_text,ref_gen_similarity
0,افسردہ,بہت برا ہوں,0.5825579166412354
1,افسردہ,میں ساری زندگی جہاں ارا سے نفرت کرتا رہا,0.450080543756485
2,افسردہ,اور اس کی سزا میں نے تمہیں بھی دی,0.4948718547821045
3,افسردہ,دل میں تھوڑی گنجائش پیدا کر لیتا تو تین زندگیاں اسان ہو جاتی,0.5261207222938538
4,افسردہ,میں جہاں ارا اور تم ہم اکٹھے رہتے,0.5968573689460754
5,افسردہ,تقسیم نہ ہوتے یہ محبت یہ گنجائش لاتا کہاں سے,0.5989832878112793
6,افسردہ,کمبخت نفرت نے کچھ سوچنا ہی نہیں دیا,0.5186750292778015
7,افسردہ,جہاں ارا اس سے ملا ہوں تو ہو مجھے اندازہ ہوا ہے کہ,0.5052791833877563
8,افسردہ,میں نے زندگی میں کتنا نقصان اٹھایا ہے,0.45286229252815247
9,افسردہ,نہیں بھولوں گا پیار تھا مجھ سے,0.5388185977935791
10,بوریت,اچھا چلیں اپ کہتی ہیں تو مان لیتا ہوں,0.5233992338180542
11,بوریت,تنہا انسان تو بالکل خاک کی طرح ہوتا ہے,0.5562571287155151
12,بوریت,اس لیے کہ میں نے کبھی پیار سے اس کو بولا ہی نہیں ہے,0.43978583812713623
13,بوریت,ہاں مگر روح بن کر زندگی کو ضرور نگل جاتی ہے,0.48486220836639404
14,بوریت,لاکھ ان کو دل سے نکالنا چاہو نہیں نکلتے,0.4515518844127655
15,بوریت,مگر کچھ رشتے ٹوٹ کر بھی دل میں تعلق بن کر کھڑے رہتے ہیں,0.5247427225112915
16,بوریت,رشتہ تو جہاں ارا سے کب کا ٹوٹ چکا تھا,0.5567817091941833
17,بوریت,کیا کہوں تم سے کیوں یہ انسو میری انکھ میں اگئے,0.5142427086830139
18,بوریت,میں نا اچھا باب بن سکا  نہ اچھا شوہر,0.48339828848838806
19,بوریت,نیلم کو رخصت کرتے وقت دل بہت اداس تھا,0.5803778767585754
20,خوشی,بتاؤ بیٹا کیا چاہیے تمہیں,0.4372544586658478
21,خوشی,مہمان اگئے کون کون اگیا,0.4854993224143982
22,خوشی,ارے اپا شکریہ,0.5765413045883179
23,خوشی,اپ کے ہاتھوں کی لسی کی تو بات ہی کچھ اور ہے,0.5198457837104797
24,خوشی,اکیلی ائی ہو حسان نہیں ایا اؤ اؤ اؤ,0.4444190263748169
25,خوشی,جب زبان ساتھ دینے لگے تو ضرور کہنا مجھے اچھا لگے گا,0.5265128016471863
26,خوشی,ہاں بدر ہے نا اب افس میں,0.5472195148468018
27,خوشی,بس اب تھوڑی دیر کے لیے جاتا ہوں پھر واپس ا جاتا ہوں,0.5103701949119568
28,خوشی,کیا بنا رہی ہو اج کھانے میں,0.3762997090816498
29,خوشی,بتاؤ نا کیا بنا رہی ہو,0.5152358412742615
30,خوف,دعا کرو کہ وہ کسی مشکل میں ہو تبھی اسے ہوش ائے گا,0.521045446395874
31,خوف,میں سمجھتا ہوں کہ بچیوں کو اس طرح وہاں بھیجنا کچھ مناسب نہیں لگتا,0.5267214775085449
32,خوف,جھوٹ مت بولو گیتی بتاؤ کس کا فون ہے یہ,0.44397953152656555
33,خوف,اسی مہینے ظفر اور گیتی کا نکاح کر دیتے ہیں,0.5311329364776611
34,خوف,میں کسی بھی بڑی مشکل سے بچنا چاہتا ہوں,0.4600134491920471
35,خوف,وہ اگر یہاں ہوتی نا تو میرے لہجے میں بھی اتنی تلخی نہ ہوتی,0.48729798197746277
36,خوف,اس نے یہاں سے جا کر میری محبت اور تمہارے نصیب میں کانٹے بوئے ہیں,0.5163344740867615
37,خوف,منور تم فون نہیں کرو گے,0.4967234134674072
38,خوف,بدر اپنے گھر فون لگا اور اپنے باپ کو بلا,0.6715496778488159
39,خوف,کچھ تو بھرم رہ جائے گا,0.48371633887290955
40,غصہ,اور تم سارے شہر میں یہ ڈھنڈورا پیٹتی آ رہی ہو ,0.6374091506004333
41,غصہ,تم نہیں سمجھ رہی ہو تمہیں سمجھ نہیں آ رہی ہے,0.43655622005462646
42,غصہ,نکلو یہاں سے باہر، چلو جاؤ,0.5447197556495667
43,غصہ,بکواس کر رہے ہو تم,0.6014827489852905
44,غصہ,اگر اسے بات کرنے کی تمیز نہیں ہے تو اسے اس گھر میں بھی رہنے کی کوئی ضرورت نہیں ہے,0.47828367352485657
45,غصہ,احسان کے گھر میں پینٹ کا کام مکمل نہیں ہوا ابھی تک اور تم کہہ رہے ہو کہ میں نے سارے کام کر دیے ہیں ,0.5168091058731079
46,غصہ,زبیر بس بس، چلو یہاں سے,0.5496325492858887
47,غصہ,بس بس میں آ گیا ہوں نا مرتسم خان، مجھ سے بات کرو,0.603084146976471
48,غصہ,میں نے دوستی کا ہاتھ بڑھایا تو ہاتھ تھام لیا اس نے,0.6021660566329956
49,غصہ,زبیر ملک بس، تم نے اس کی بیوی کو اغوا کیا,0.6285997629165649
50,ناگواری,موسی میری انکھ میں انکھ ڈال کر بات کر تاکہ جو میں سوال کروں اس کا جواب تیری انکھ میں پڑھ سکوں,0.5312470197677612
51,ناگواری,جو ادمی باپ کے پیسے جوئے میں اڑاے اس سے کیا امید رکھی جا سکتی ہے چلو راحیلہ صاحبزادے کو ارام کرنے دو,0.5681198835372925
52,ناگواری,کیا کروں ان سب کا باقی کام تو تم سے ہو نہیں رہے,0.4422798156738281
53,ناگواری,باہر دانے کا بندوبست نہیں کیا موٹر خراب پڑی ہے مکینک نہیں ایا,0.510689377784729
54,ناگواری,یہ جو ہڈ ہرامی ہے نا سخت ناپسند ہے مجھے,0.5050525069236755
55,ناگواری,یہی تو بات ہے کہ بچی نہیں رہی ہے بڑی ہو گئی ہے وہ,0.45785805583000183
56,ناگواری,پھر محبت کرنا ضروری ہے کیا ضرورتیں تو  پوری ہو رہی ہیں اس کی,0.4732104539871216
57,ناگواری,ھو میری بھی کیا زندگی ہے ایک عورت ملی اور وہ بھی دھوکہ دے کے چلی گئی,0.5172234773635864
58,ناگواری,رہنے دو تم پڑھائی  پڑھائی کی اتنی فکر ہوتی نا تو دو مضامین میں  سپلی نہ اتی تمہاری,0.5073541402816772
59,ناگواری,اچھا نا میں بات کر رہا ہوں نا تم خاموش رہو,0.5334128141403198
