dataset,sample_id,urdu_text,audio_duration_sec,ref_gen_similarity,ref_self_similarity
urduspeech,urduspeech_01,زنانی سواریاں سکھپالوں اور چنڈولوں میں سوار تھیں ۔,4.781,0.6762273907661438,1.0000001192092896
urduspeech,urduspeech_02,بولا ۔,0.412,0.6920905113220215,1.0
urduspeech,urduspeech_03,میں کسی سے کیوں کہنے لگی ۔۔,1.972,0.6154571175575256,1.0
urduspeech,urduspeech_04,دل نے کہا ہو نہ ہو قیامت نزد یک آئی کہ سورج مشرق کو چھوڑ شمال سے نکلا ۔,6.939,0.6383062601089478,1.0
urduspeech,urduspeech_05,اگر یوں ہی موت آئی ہے تو مررہیں گے ۔,2.877,0.6461218595504761,1.0
urduspeech,urduspeech_06,شہزادے کوخوش پایا تو ملکہ نے سوال کیا ۔,2.997,0.6716310977935791,1.0
urduspeech,urduspeech_07,اپنی جان جوکھوں میں ڈال کر اسے قید سے چھڑایا ۔,4.066,0.6907680630683899,1.0000001192092896
urduspeech,urduspeech_08,سارا قصہ,1.113,0.6387509703636169,1.0000001192092896
urduspeech,urduspeech_09,میں وزیر زادے کے ساتھ سیر کرتا تھا ۔,2.852,0.6585507392883301,1.0
urduspeech,urduspeech_10,اگر بتاؤ گے تو پچھتاؤ گے اور حضرت یوسف سے بھی زیادہ دکھ اٹھاؤ گے ۔,5.848,0.7107421159744263,1.0
urduspeech,urduspeech_11,اس وقت جان عالم کو انجمن آرا کی یاد آئی تو اس میں تعجب کی کیا بات ہے ۔,5.624,0.665259063243866,1.0000001192092896
urduspeech,urduspeech_12,ادھر سے اتفاقا اسی وقت ایک سفید دیو کا گز رہوا ۔,4.695,0.6756757497787476,1.0
urduspeech,urduspeech_13,آدمی کی صحبت میسر نہ آئی ۔,1.82,0.6167050004005432,1.0
urduspeech,urduspeech_14,حکم ہوا کہ شہر کے نزدیک پہنچ کے ا خیمے لگائے جائیں ۔,4.717,0.6684146523475647,1.0
urduspeech,urduspeech_15,کنیز مدت سے آپ کی تعریف سنتی تھی ۔,2.706,0.6812163591384888,1.0
urduspeech,urduspeech_16,اس نےد فن کرنا چاہا تو دیکھا کہ چادر میں پھولوں کے سوا کچھ نہیں ۔آدھی چادر اس کے مریدوں نے آپس میں بانٹ لی اور آدھی اس کے چیلوں نے ۔,12.777,0.6833539605140686,1.0
urduspeech,urduspeech_17,کہیں سرخ کہیں سفید ، کہیں اودے ، بادل گرجتے تھے ۔,4.346,0.6381089687347412,1.0
urduspeech,urduspeech_18,لعل اگلے تو سچا ورنہ جھوٹا ۔,3.034,0.6082483530044556,1.0
urduspeech,urduspeech_19,پھر وزیر اور توتے سے بچھڑے طلسم میں گرفتا ہوۓ ۔,3.724,0.6629815697669983,1.0
urduspeech,urduspeech_20,کسی کو بگاڑا ۔,1.123,0.6126444339752197,1.0000001192092896
urduspeech,urduspeech_21,بے حساب ملال ہوا مگر روک بھی نہ سکتی تھی ۔,3.583,0.605085551738739,1.0000001192092896
urduspeech,urduspeech_22,اب تندرستی میں بھی لاجواب ہے ۔,2.009,0.6532024145126343,1.0
urduspeech,urduspeech_23,اتنے میں وہ ظالم بھی آ پہنچا ۔,2.656,0.6495062708854675,1.0
urduspeech,urduspeech_24,کون سا عیش و آرام تھا جو اس باغ میں موجود نہ تھا ۔,3.784,0.6489546298980713,1.0
urduspeech,urduspeech_25,جان پر بن آئی ہے,1.507,0.6534050703048706,1.0
urduspeech,urduspeech_26,اگر تو جن ، بھوت ، دیو بلا ہے تو بھی میں تجھے چھوڑ نہیں سکتا ۔,5.992,0.6613612174987793,1.0
urduspeech,urduspeech_27,بہت سے شاہ اور شہر یاراس سے شادی کے امیدوار تھے ۔,4.064,0.5830714106559753,1.0
urduspeech,urduspeech_28,جوان نے عرض کیا ۔,1.677,0.6007241010665894,1.0000001192092896
urduspeech,urduspeech_29,وہ بولا کہیں مر کے بھی کوئی زندہ ہوا ہے جو یہ زندہ ہوگا ؟,5.2,0.706542432308197,1.0
urduspeech,urduspeech_30,ساری رات دونوں سو نہ سکیں ۔,2.521,0.5722401142120361,1.0
