dataset,sample_id,urdu_text,audio_duration_sec,ref_gen_similarity
humair_conv,0,گوا کی یہ تہہ دار میٹھی چیز ہندوستان کی علاقائی مٹھائیوں کی ملکہ ہے۔,5.03,0.5889
humair_conv,1,آئیے دیکھتے ہیں کہ حالات ٹھیک رہے تو میں اس بار یہ موقع نہیں گنواؤں گا۔,5.25,0.6528
humair_conv,2,میں واقعی اس کی تعریف کرتا ہوں۔,2.29,0.6282
humair_conv,3,اس کے اوقات کیا ہیں؟,2.12,0.58
humair_conv,4,پھر ملتے ہیں۔,1.35,0.6506
humair_conv,5,ذاتی تفصیلات جیسے رابطے اور رہائش کی تفصیلات ویسے ڈیٹا میں پیش نہیں کی جاتیں۔,5.24,0.5713
humair_conv,6,آپ نے حقیقت میں ہمارا ایک بڑا مسئلہ حل کردیا۔,3.16,0.5757
humair_conv,7,فن آرٹ آن لائن آرٹ کلاس کو فن پارے اور درسیات کے ماہرین نے تیار کیا ہے۔,5.33,0.6233
humair_conv,8,ہے نا! وہ تو زبردست تھا۔,1.83,0.6407
humair_conv,9,یہ پی ڈی ایف فارمیٹ میں جاری کیا جائے گا۔,2.82,0.5538
humair_conv,10,دہرادون میں ہمارا سنٹر رائے پور روڈ، دہرادون پہ ہے۔,3.85,0.6205
humair_conv,11,جی ہاں، وہ بہر حال مہیا کیا جائے گا۔,2.89,0.6298
humair_conv,12,میں آپ کی پریشانی کو سمجھتا ہوں۔,1.78,0.533
humair_conv,13,یہ مندروں کا شہر ہے تو شاید آپ مجھے وہاں کے مندروں کے بارے میں کچھ بتائیں؟,5.29,0.6577
humair_conv,14,کوئی شخص اپنے تفریحی مشغلوں سے دوسرے کون سے ہنر سیکھ سکتا ہے؟,4.83,0.596
humair_conv,15,سنجیدگی سے، یہ ضروری ہے کہ ہم دن میں کچھ جسمانی ورزش کریں۔,4.71,0.5429
humair_conv,16,لہذا ہم جو بھی پڑھتے ہیں میں ان کی تصاویر اور کچھ وہ جگہیں جہاں میں ہو آیا ہوں یا فلموں میں دیکھ چکا ہوں انہیں ذہن میں لا کر جوڑنے کی کوشش کرتا ہوں۔,10.1,0.66
humair_conv,17,یہاں تک کہ میرے جسمانی عمل اور دماغی صحت اس وقت کافی بہتر تھے۔,5.27,0.5991
humair_conv,18,میوزک اور ڈانس کا کیا؟,1.74,0.5821
humair_conv,19,ٹھیک ہے۔ یہ کافی مہنگا ہے۔,2.18,0.503
humair_conv,20,متبادل کے طور پر، آپ ڈیبٹ یا کریڈٹ کارڈ کا استعمال کرتے ہوئے یونو پر رجسٹریشن کر سکتے ہیں۔,7.65,0.6565
humair_conv,21,سر، تو آپ چاہتے ہیں کہ میں اعلان کروں یا بس انہیں شخصی طور پر بتا دوں؟,4.59,0.6088
humair_conv,22,اس کی کون سی مختلف اقسام ہیں؟,2.23,0.4891
humair_conv,23,علاوہ ازیں، ہندوستانی جغرافیہ ہمارے نصاب کا حصہ ہے اور آپ لوگ غالباً دنیا کی بہترین جگہوں کے بارے میں پڑھتے ہیں!,8.14,0.6566
humair_conv,24,براہ مہربانی بتائیے۔,1.86,0.5635
humair_conv,25,کیا آپ کے لیے یہ ٹھیک رہے گا؟,2.3,0.5121
humair_conv,26,براہ کرم مجھے بتائیے کہ آپ کس وقت دستیاب رہیں گے۔,3.46,0.5741
humair_conv,27,جی ہاں، ہم کس طرح آپ کی مدد کر سکتے ہیں؟,2.81,0.5992
humair_conv,28,اگر آپ کو کسی مدد کی ضرورت ہو تو مجھ سے رابطہ کریں۔,3.44,0.5651
humair_conv,29,اوہ، سمجھ رہا ہوں۔,2.28,0.5163
humair_conv,30,لیکن وہ مجھے شادی کر کے رخصت کرنے کے لیے بضد ہیں۔,3.61,0.5245
humair_conv,31,بی بی ایف ایس کی ماتحتی میں کتنے اسکول چلتے ہیں؟,3.24,0.5894
humair_conv,32,ارے کرش!,1.08,0.608
humair_conv,33,سر، میں ایسا عہدہ چاہتی ہوں جس میں مجھے سالانہ چھے سے سات لاکھ مل سکیں,4.83,0.6719
humair_conv,34,میں نے سنا ہے کہ اس کا ڈیزائن منفرد ہے۔,2.91,0.5325
humair_conv,35,میں خود بھی سوچتا رہتا ہوں، کہ کیوں اتنا پریشان ہوتا ہوں۔,3.43,0.6108
humair_conv,36,ہر چیز کا الگ ذائقہ ہوتا۔,2.78,0.6472
humair_conv,37,ویسے کیا ہم سب صرف جنک نہیں ہیں؟,2.87,0.602
humair_conv,38,واقعی نہیں، شاید ہم مل کر گھوم سکتے ہیں۔,3.37,0.541
humair_conv,39,کیا آپ میرے کچھ سوالات کا جواب دے سکتے ہیں؟,2.92,0.5815
humair_conv,40,مجھے بتاؤ، وویک، آپ کا مسئلہ کیا ہے؟,2.97,0.5441
humair_conv,41,میں ویشنو دیوی مندر کی زیارت کے بارے میں کچھ معلومات چاہتی تھی۔,3.72,0.4995
humair_conv,42,یہ واقعی ایک تجربہ ہوتا ہے۔,2.08,0.5444
humair_conv,43,یہاں تک کہ یہ بھی زیادہ نہیں ہے۔,2.38,0.5658
humair_conv,44,براہ کرم مجھے بتائیے آپ کو کیا معلوم کرنا ہے۔,3.88,0.6304
humair_conv,45,ایس بی آئی انٹرنیٹ بینکنگ فراہم کرتا ہے۔,3.28,0.5537
humair_conv,46,جی ایچ آئی نگر، فلاں فلاں اسٹریٹ، فلاں فلاں۔,3.02,0.6118
humair_conv,47,کیا یہ بات کرنے کا صحیح وقت ہے؟,2.09,0.5252
humair_conv,48,جی ہاں، ضرور، میم۔,2.19,0.4765
humair_conv,49,ہاں، سر، میں تقریبا ہر چیز پر سے اپنی توجہ کھو رہا ہوں، اور میں بہت پریشان رہتا ہوں۔,6.29,0.5731
humair_conv,50,اس نے کتنے سال تک کھیلا؟,1.75,0.5456
humair_conv,51,میں نے فارم بھرے، پوسٹ کے ذریعے ڈی ڈی چیک بھیجے، سب کچھ کیا۔,4.74,0.5629
humair_conv,52,یہ میرے لیے خوشی کی بات ہے،  جناب۔,2.64,0.5393
humair_conv,53,کیا حال ہے، یار؟,1.57,0.549
humair_conv,54,تھراپی آپ کے لیے مددگار ثابت ہوگی۔,2.63,0.6152
humair_conv,55,ہم آپ کے لیے کیا کر سکتے ہیں؟,2.13,0.5955
humair_conv,56,بالکل! اب آپ کو اتنا کرنا ہے کہ آپ اسے لے کر بیٹھ جائیں اور سارے اسٹیپ فالو کریں اور اسے پورا کر دیں۔,8.2,0.6549
humair_conv,57,وہاں پر ساؤتھ انڈیا کے مسالا دوسا سے لے کر راجما چاول تک آئٹموں کی ایک وسیع رینج ہے۔,5.89,0.5624
humair_conv,58,بالکل، مجھے جلدی نہیں ہے۔,3.04,0.5059
humair_conv,59,ٹھیک ہے جناب۔,1.91,0.4325
