dataset,sample_id,urdu_text,audio_duration_sec,ref_gen_similarity,ref_self_similarity
urduspeech,urduspeech_01,گوا کی یہ تہہ دار میٹھی چیز ہندوستان کی علاقائی مٹھائیوں کی ملکہ ہے۔,5.028,0.7220553159713745,1.0000001192092896
urduspeech,urduspeech_02,آئیے دیکھتے ہیں کہ حالات ٹھیک رہے تو میں اس بار یہ موقع نہیں گنواؤں گا۔,5.255,0.7933367490768433,1.0
urduspeech,urduspeech_03,میں واقعی اس کی تعریف کرتا ہوں۔,2.295,0.6463029384613037,1.0
urduspeech,urduspeech_04,اس کے اوقات کیا ہیں؟,2.115,0.6275390982627869,1.0000001192092896
urduspeech,urduspeech_05,پھر ملتے ہیں۔,1.346,0.6720842719078064,1.0
urduspeech,urduspeech_06,ذاتی تفصیلات جیسے رابطے اور رہائش کی تفصیلات ویسے ڈیٹا میں پیش نہیں کی جاتیں۔,5.244,0.777897834777832,1.0
urduspeech,urduspeech_07,آپ نے حقیقت میں ہمارا ایک بڑا مسئلہ حل کردیا۔,3.162,0.7086954712867737,1.0000001192092896
urduspeech,urduspeech_08,فن آرٹ آن لائن آرٹ کلاس کو فن پارے اور درسیات کے ماہرین نے تیار کیا ہے۔,5.334,0.7644780278205872,1.0000001192092896
urduspeech,urduspeech_09,ہے نا! وہ تو زبردست تھا۔,1.834,0.7207293510437012,1.0000001192092896
urduspeech,urduspeech_10,یہ پی ڈی ایف فارمیٹ میں جاری کیا جائے گا۔,2.818,0.6998140215873718,1.0000001192092896
urduspeech,urduspeech_11,دہرادون میں ہمارا سنٹر رائے پور روڈ، دہرادون پہ ہے۔,3.847,0.7730305194854736,1.0
urduspeech,urduspeech_12,جی ہاں، وہ بہر حال مہیا کیا جائے گا۔,2.892,0.7146230936050415,1.0
urduspeech,urduspeech_13,میں آپ کی پریشانی کو سمجھتا ہوں۔,1.782,0.62005215883255,1.0
urduspeech,urduspeech_14,یہ مندروں کا شہر ہے تو شاید آپ مجھے وہاں کے مندروں کے بارے میں کچھ بتائیں؟,5.286,0.7441017627716064,1.0
urduspeech,urduspeech_15,کوئی شخص اپنے تفریحی مشغلوں سے دوسرے کون سے ہنر سیکھ سکتا ہے؟,4.831,0.7078580260276794,1.0
urduspeech,urduspeech_16,سنجیدگی سے، یہ ضروری ہے کہ ہم دن میں کچھ جسمانی ورزش کریں۔,4.705,0.7140706181526184,1.0
urduspeech,urduspeech_17,لہذا ہم جو بھی پڑھتے ہیں میں ان کی تصاویر اور کچھ وہ جگہیں جہاں میں ہو آیا ہوں یا فلموں میں دیکھ چکا ہوں انہیں ذہن میں لا کر جوڑنے کی کوشش کرتا ہوں۔,10.097,0.7589128017425537,1.0
urduspeech,urduspeech_18,یہاں تک کہ میرے جسمانی عمل اور دماغی صحت اس وقت کافی بہتر تھے۔,5.27,0.6970773935317993,1.0
urduspeech,urduspeech_19,میوزک اور ڈانس کا کیا؟,1.742,0.6661052703857422,1.0000001192092896
urduspeech,urduspeech_20,ٹھیک ہے۔ یہ کافی مہنگا ہے۔,2.177,0.5868655443191528,1.0000001192092896
urduspeech,urduspeech_21,متبادل کے طور پر، آپ ڈیبٹ یا کریڈٹ کارڈ کا استعمال کرتے ہوئے یونو پر رجسٹریشن کر سکتے ہیں۔,7.652,0.7110064625740051,1.0
urduspeech,urduspeech_22,سر، تو آپ چاہتے ہیں کہ میں اعلان کروں یا بس انہیں شخصی طور پر بتا دوں؟,4.595,0.6913683414459229,1.0000001192092896
urduspeech,urduspeech_23,اس کی کون سی مختلف اقسام ہیں؟,2.233,0.6316275596618652,1.0
urduspeech,urduspeech_24,علاوہ ازیں، ہندوستانی جغرافیہ ہمارے نصاب کا حصہ ہے اور آپ لوگ غالباً دنیا کی بہترین جگہوں کے بارے میں پڑھتے ہیں!,8.136,0.7947258949279785,1.0000001192092896
urduspeech,urduspeech_25,براہ مہربانی بتائیے۔,1.864,0.669837474822998,1.0000001192092896
urduspeech,urduspeech_26,کیا آپ کے لیے یہ ٹھیک رہے گا؟,2.298,0.715808629989624,1.0
urduspeech,urduspeech_27,براہ کرم مجھے بتائیے کہ آپ کس وقت دستیاب رہیں گے۔,3.463,0.6644628643989563,1.0
urduspeech,urduspeech_28,جی ہاں، ہم کس طرح آپ کی مدد کر سکتے ہیں؟,2.81,0.6291658878326416,1.0
urduspeech,urduspeech_29,اگر آپ کو کسی مدد کی ضرورت ہو تو مجھ سے رابطہ کریں۔,3.435,0.6971526741981506,1.0
urduspeech,urduspeech_30,اوہ، سمجھ رہا ہوں۔,2.277,0.5882582664489746,1.0
urduspeech,urduspeech_31,لیکن وہ مجھے شادی کر کے رخصت کرنے کے لیے بضد ہیں۔,3.608,0.6625272035598755,1.0
urduspeech,urduspeech_32,بی بی ایف ایس کی ماتحتی میں کتنے اسکول چلتے ہیں؟,3.243,0.7427520155906677,1.0
urduspeech,urduspeech_33,ارے کرش!,1.081,0.6921979784965515,1.0
urduspeech,urduspeech_34,سر، میں ایسا عہدہ چاہتی ہوں جس میں مجھے سالانہ چھے سے سات لاکھ مل سکیں,4.826,0.6975399255752563,1.0
urduspeech,urduspeech_35,میں نے سنا ہے کہ اس کا ڈیزائن منفرد ہے۔,2.906,0.5775882005691528,1.0
urduspeech,urduspeech_36,میں خود بھی سوچتا رہتا ہوں، کہ کیوں اتنا پریشان ہوتا ہوں۔,3.426,0.6371988654136658,1.0000001192092896
urduspeech,urduspeech_37,ہر چیز کا الگ ذائقہ ہوتا۔,2.781,0.7233401536941528,1.0
urduspeech,urduspeech_38,ویسے کیا ہم سب صرف جنک نہیں ہیں؟,2.872,0.7057546377182007,1.0
urduspeech,urduspeech_39,واقعی نہیں، شاید ہم مل کر گھوم سکتے ہیں۔,3.371,0.6613758206367493,1.0
urduspeech,urduspeech_40,کیا آپ میرے کچھ سوالات کا جواب دے سکتے ہیں؟,2.917,0.660024881362915,1.0
