dataset,sample_id,urdu_text,audio_duration_sec,ref_gen_similarity
humair_conv,0,گوا کی یہ تہہ دار میٹھی چیز ہندوستان کی علاقائی مٹھائیوں کی ملکہ ہے۔,5.03,0.7336
humair_conv,1,آئیے دیکھتے ہیں کہ حالات ٹھیک رہے تو میں اس بار یہ موقع نہیں گنواؤں گا۔,5.25,0.7299
humair_conv,2,میں واقعی اس کی تعریف کرتا ہوں۔,2.29,0.6657
humair_conv,3,اس کے اوقات کیا ہیں؟,2.12,0.7736
humair_conv,4,پھر ملتے ہیں۔,1.35,0.6566
humair_conv,5,ذاتی تفصیلات جیسے رابطے اور رہائش کی تفصیلات ویسے ڈیٹا میں پیش نہیں کی جاتیں۔,5.24,0.8109
humair_conv,6,آپ نے حقیقت میں ہمارا ایک بڑا مسئلہ حل کردیا۔,3.16,0.7639
humair_conv,7,فن آرٹ آن لائن آرٹ کلاس کو فن پارے اور درسیات کے ماہرین نے تیار کیا ہے۔,5.33,0.7505
humair_conv,8,ہے نا! وہ تو زبردست تھا۔,1.83,0.7286
humair_conv,9,یہ پی ڈی ایف فارمیٹ میں جاری کیا جائے گا۔,2.82,0.7894
humair_conv,10,دہرادون میں ہمارا سنٹر رائے پور روڈ، دہرادون پہ ہے۔,3.85,0.7452
humair_conv,11,جی ہاں، وہ بہر حال مہیا کیا جائے گا۔,2.89,0.7742
humair_conv,12,میں آپ کی پریشانی کو سمجھتا ہوں۔,1.78,0.6451
humair_conv,13,یہ مندروں کا شہر ہے تو شاید آپ مجھے وہاں کے مندروں کے بارے میں کچھ بتائیں؟,5.29,0.7291
humair_conv,14,کوئی شخص اپنے تفریحی مشغلوں سے دوسرے کون سے ہنر سیکھ سکتا ہے؟,4.83,0.765
humair_conv,15,سنجیدگی سے، یہ ضروری ہے کہ ہم دن میں کچھ جسمانی ورزش کریں۔,4.71,0.7484
humair_conv,16,لہذا ہم جو بھی پڑھتے ہیں میں ان کی تصاویر اور کچھ وہ جگہیں جہاں میں ہو آیا ہوں یا فلموں میں دیکھ چکا ہوں انہیں ذہن میں لا کر جوڑنے کی کوشش کرتا ہوں۔,10.1,0.7682
humair_conv,17,یہاں تک کہ میرے جسمانی عمل اور دماغی صحت اس وقت کافی بہتر تھے۔,5.27,0.7895
humair_conv,18,میوزک اور ڈانس کا کیا؟,1.74,0.7123
humair_conv,19,ٹھیک ہے۔ یہ کافی مہنگا ہے۔,2.18,0.6009
humair_conv,20,متبادل کے طور پر، آپ ڈیبٹ یا کریڈٹ کارڈ کا استعمال کرتے ہوئے یونو پر رجسٹریشن کر سکتے ہیں۔,7.65,0.8235
humair_conv,21,سر، تو آپ چاہتے ہیں کہ میں اعلان کروں یا بس انہیں شخصی طور پر بتا دوں؟,4.59,0.7774
humair_conv,22,اس کی کون سی مختلف اقسام ہیں؟,2.23,0.6525
humair_conv,23,علاوہ ازیں، ہندوستانی جغرافیہ ہمارے نصاب کا حصہ ہے اور آپ لوگ غالباً دنیا کی بہترین جگہوں کے بارے میں پڑھتے ہیں!,8.14,0.7708
humair_conv,24,براہ مہربانی بتائیے۔,1.86,0.704
humair_conv,25,کیا آپ کے لیے یہ ٹھیک رہے گا؟,2.3,0.7513
humair_conv,26,براہ کرم مجھے بتائیے کہ آپ کس وقت دستیاب رہیں گے۔,3.46,0.7795
humair_conv,27,جی ہاں، ہم کس طرح آپ کی مدد کر سکتے ہیں؟,2.81,0.7333
humair_conv,28,اگر آپ کو کسی مدد کی ضرورت ہو تو مجھ سے رابطہ کریں۔,3.44,0.7228
humair_conv,29,اوہ، سمجھ رہا ہوں۔,2.28,0.7023
humair_conv,30,لیکن وہ مجھے شادی کر کے رخصت کرنے کے لیے بضد ہیں۔,3.61,0.7492
humair_conv,31,بی بی ایف ایس کی ماتحتی میں کتنے اسکول چلتے ہیں؟,3.24,0.6939
humair_conv,32,ارے کرش!,1.08,0.8261
humair_conv,33,سر، میں ایسا عہدہ چاہتی ہوں جس میں مجھے سالانہ چھے سے سات لاکھ مل سکیں,4.83,0.702
humair_conv,34,میں نے سنا ہے کہ اس کا ڈیزائن منفرد ہے۔,2.91,0.7848
humair_conv,35,میں خود بھی سوچتا رہتا ہوں، کہ کیوں اتنا پریشان ہوتا ہوں۔,3.43,0.7529
humair_conv,36,ہر چیز کا الگ ذائقہ ہوتا۔,2.78,0.8326
humair_conv,37,ویسے کیا ہم سب صرف جنک نہیں ہیں؟,2.87,0.8309
humair_conv,38,واقعی نہیں، شاید ہم مل کر گھوم سکتے ہیں۔,3.37,0.711
humair_conv,39,کیا آپ میرے کچھ سوالات کا جواب دے سکتے ہیں؟,2.92,0.7674
humair_conv,40,مجھے بتاؤ، وویک، آپ کا مسئلہ کیا ہے؟,2.97,0.7222
humair_conv,41,میں ویشنو دیوی مندر کی زیارت کے بارے میں کچھ معلومات چاہتی تھی۔,3.72,0.712
humair_conv,42,یہ واقعی ایک تجربہ ہوتا ہے۔,2.08,0.7588
humair_conv,43,یہاں تک کہ یہ بھی زیادہ نہیں ہے۔,2.38,0.7138
humair_conv,44,براہ کرم مجھے بتائیے آپ کو کیا معلوم کرنا ہے۔,3.88,0.7658
humair_conv,45,ایس بی آئی انٹرنیٹ بینکنگ فراہم کرتا ہے۔,3.28,0.6534
humair_conv,46,جی ایچ آئی نگر، فلاں فلاں اسٹریٹ، فلاں فلاں۔,3.02,0.6912
humair_conv,47,کیا یہ بات کرنے کا صحیح وقت ہے؟,2.09,0.6654
humair_conv,48,جی ہاں، ضرور، میم۔,2.19,0.6939
humair_conv,49,ہاں، سر، میں تقریبا ہر چیز پر سے اپنی توجہ کھو رہا ہوں، اور میں بہت پریشان رہتا ہوں۔,6.29,0.7824
humair_conv,50,اس نے کتنے سال تک کھیلا؟,1.75,0.6653
humair_conv,51,میں نے فارم بھرے، پوسٹ کے ذریعے ڈی ڈی چیک بھیجے، سب کچھ کیا۔,4.74,0.7947
humair_conv,52,یہ میرے لیے خوشی کی بات ہے،  جناب۔,2.64,0.6802
humair_conv,53,کیا حال ہے، یار؟,1.57,0.4459
humair_conv,54,تھراپی آپ کے لیے مددگار ثابت ہوگی۔,2.63,0.7867
humair_conv,55,ہم آپ کے لیے کیا کر سکتے ہیں؟,2.13,0.6813
humair_conv,56,بالکل! اب آپ کو اتنا کرنا ہے کہ آپ اسے لے کر بیٹھ جائیں اور سارے اسٹیپ فالو کریں اور اسے پورا کر دیں۔,8.2,0.8206
humair_conv,57,وہاں پر ساؤتھ انڈیا کے مسالا دوسا سے لے کر راجما چاول تک آئٹموں کی ایک وسیع رینج ہے۔,5.89,0.766
humair_conv,58,بالکل، مجھے جلدی نہیں ہے۔,3.04,0.7207
humair_conv,59,ٹھیک ہے جناب۔,1.91,0.6518
