dataset,sample_id,urdu_text,audio_duration_sec,ref_gen_similarity
fleurs,0,ان کے دور میں خفیف تلوُّث ایزا مسئلہ نہیں تھا جیسا کہ وہ آج ہے ان کی سکونت ایسے شہروں یا حوزات میں ہے جہا ں تک بآسانی پہنچا جا سکتا ہے بہ نسبت ان مقامات کے جو ماڈرن زمانے میں تعمیر کئے گئے,12.24,0.5392941236495972
fleurs,1,فلپائنی فوٹوگرافروں کے ساتھ چھےاغوا شدگان کو جلد رہا کر دیا گیا تھا جِن میں بچّے اور بُوڑھے شامل تھے,6.24,0.6229308843612671
fleurs,2,اس کے لانبے جبڑوں میں 70 سے زیادہ استرے سے تیز دانت جڑے تھے اور اسی کے ساتھ اس کے منہ کے تالو میں دانتوں کی ایک مزید لڑی تھی اس کے معنی یہ ہیں کہ اس کے راستہ میں آنے والی کوئی شے اس سے بھاگ نہیں سکتی,12.12,0.4853532910346985
fleurs,3,اکتوبر میں شروع ہونے والے حکومت مخالف مظاہروں پر مارٹیلی کا ردعمل کمیشن تھا,7.56,0.4936886131763458
fleurs,4,ہسپتال نے انفیکشن پر قابو پانے کے لیے پروٹوکول کی تقلید کی ہے جس میں مریض کو دیگر سے علیحدہ کرنا شامل ہے تاکہ دیگر افراد کے ممکنہ انفیکشن سے بچا جا سکے,10.44,0.5345226526260376
fleurs,5,یہ سمجھدار معلوم ہوتا ہے کیوں کہ زمین ایسا محسوس نہیں کرتی ہے کہ جیسے وہ حرکت کررہی ہے کیا ایسا کرتی ہے,8.82,0.4526835083961487
fleurs,6,اُتاوا کناڈا کی دلکشی دو زبانی دارالحکومت ہے اور وہاں متعدد آرٹ گیلریاں اور عجائب گھر ہیں جو کناڈا کے ماضی اور حال کی عکاس ہیں,10.8,0.5242279767990112
fleurs,7,جو کوئی اونچے ارض البلد میں گاڑی چلانے جا رہا ہو یا پہاڑیوں سے گزر رہا ہو انہیں ممکنہ برف باری آئس یا منجمد کرنے والے درجہ حرارت کا خیال رکھنا چاہئے,10.38,0.5139814615249634
fleurs,8,آپ کے ہاتھ پر موجود نمی بیرونی سطح کے خلاف ردعمل ظاہر کرے گی جس سے سنسناہٹ سی محسوس ہو گی اور ایک خول نما شئے بنا دے گی,9.96,0.45013749599456787
fleurs,9,بالی میں دیگر ایجنڈے میں دنیا کے باقی ماندہ جنگلات کا تحفظ اور کم آلودگی کے طریقے سے ترقی کرنے کیلئے ترقی پذیر ممالک کے ساتھ ٹیکنالوجز کا اشتراک کرنے کا موضوع شامل کیا گیا,11.34,0.5254977941513062
fleurs,10,اٹلانٹک ہریکین سیزن کے دسواں نامی طوفان سب ٹراپیکل اسٹارم جیری آج بحراوقیانوس میں بن گیا,10.62,0.5110810995101929
fleurs,11,آسٹریلیا کے مائیکل گورلی نے مردوں کے اسٹینڈنگ سوپر جی میں گیارہواں مقام حاصل کیا جب کہ مردوں کے سیٹنگ سوپر-جی میں چیک کے حریف اولڈریچ جیلنیک چھٹے مقام پر رہے,11.94,0.5153740048408508
fleurs,12,بکریوں کو غالباً سب سے پہلے ایران کے زغروز پہاڑوں میں قریباً 10،000 سال پہلے گھروں میں پالا گیا۔,8.88,0.5101214647293091
fleurs,13,جس عہد میں یہ واقعات پیش آئے اسے عام طور پر 11ویں، 12ویں، اور 13ویں صدی 1000–1300عیسوی میں یوروپی تاریخ عہد کا قرون وسطی کہا جاتا ہے۔,9.18,0.4719683527946472
fleurs,14,ایلویس بنیادی طور پر دو یا دو سے زیادہ دھاتوں کا مرکب ہوتا ہے یہ مت بھولئے کہ کیمیائی دوری جدول پر بہت سے عناصر موجود ہوتے ہیں,8.7,0.6104906797409058
fleurs,15,اس نے مزید کہا کہ تاہم ان سے اس ذمہ داری کا نا پوچھا جائے جو ان کی ترقی کے مرحلے فرض اور صلاحییتوں سے آگے بڑھ گئے ہیں,9.9,0.4668251574039459
fleurs,16,بلاگ طلبہ کی تحریری قابلیت کوبھی بہتر بنا سکتے ہیں طلبہ اپنی بلاگ نویسی کی شروعات گرامر اور اسپلنگ کی غلطیوں سے کرتے ہیں سر انجام بلاگ خوانوں کی جماعت اسے درست کر دیتی ہے,12.66,0.5449715256690979
fleurs,17,فوٹوگرفرس بعد میں اس بوڑھی عورت کی جگہ بیٹھ گئے جو رفعِ حاجت کے لئے گئی مینڈوزا کو گولی مار دی گئی,7.86,0.5178806185722351
fleurs,18,ان کے یہاں عموماً مخصوص اطعمہ مشروبات اور ترفیہات کی آفرس ہوتی ہیں تاکہ مہمانوں کا موڈ اچھا رہے اور وہ اس مقام پر قیام کرتے رہیں,10.38,0.572396457195282
fleurs,19,اسکیئنگ روٹ کے بارے میں اسی طرح سوچو جس طرح ہائکنگ یا پیادہ روی کے روٹ کے بارے میں,6.06,0.46343350410461426
fleurs,20,اولیور سیکس نے اپنے اخبار دی پریزیڈنٹ اسپیچ میں اشارہ دیا کہ ایسے افراد جو دماغ میں نقص ہونے کی وجہ سے بات چیت سمجھنے کے قابل نہیں ہوتے ہیں وہ کیسے اخلاص کا درست طریقے سے اندازہ لگانے کے قابل ہیں,13.74,0.48610740900039673
fleurs,21,اوپر صاف خوبصورت آسمان اور آس پاس کی بہت سی پہاڑیوں کے علاوہ کچھ بھی نظر نہیں آتا تھا اس دنیا کے بارے میں غار سے بہت ہی کم دیکھا یا سنا جاسکتا تھا,10.5,0.5661159157752991
fleurs,22,ان جوڑوں کو اپنے بچّے کے لیے ایک ایڈاپشن پلان بنانے کا انتخاب کرنا پڑے گا,6.6,0.4985003173351288
fleurs,23,سندربن دنیا کا سب سے بڑا ساحلی مینگروو بیلٹ ہے، جو ساحلی علاقے سے بنگلادیشی اور ہندوستان کے دور افتادہ پسماندہ علاقے میں 80 کیلو میٹر 50 میل تک پھیلا ہوا ہے۔,10.68,0.4540896415710449
fleurs,24,قرون وسطی کے آخر میں مغربی یوروپ نے اپنے طرز کو ترقی دینا شروع کیا اس وقت کی سب سے بڑی ترقیوں میں سے ایک کا وجود صلیبی لوگوں کے کپڑے کو جکڑنے کیلئے بٹن کے استعمال کے چلن کو عام کرنا تھا,11.76,0.54265296459198
fleurs,25,ان کے منظم دفاع بال ہینڈلنگ کی مہارت اور عمدہ ٹیم ورک نے انھیں پامردی سے کھڑے ہونے کا حوصلہ دیا اور یہ بات واضح ہوگئی کہ یہی ٹیم شکست دینے والی ہے,13.68,0.50063157081604
fleurs,26,کاسا بلانکا پورس مراکش میں خریداری کرنے کے لئے سب سے کم پسندیدہ مقامات میں سے ایک ہے,6.6,0.530453085899353
