dataset,sample_id,urdu_text,audio_duration_sec,ref_gen_similarity
humair_book,0,یا یہ طلسم ہے کہ اگر پھٹکری اور گندھک کو چراغ میں بتی کے آس پاس چھڑک دیجیے، تو کیسی ہی ہوا چلے، چراغ گل نہ ہوگا۔,10.8,0.832
humair_book,1,میں جان و دل سے اُسے چاہتی تھی، اُس کی بناوٹ کی باتوں کو مان لیا اور شرارت پر نظر نہ کی، بلکہ پھر دل داری سے پوچھا کہ کیا تجھ کو ایسی مشکل پیش آئی ہے کہ ابھی متفکر ہو رہا ہے؟,15.88,0.8337
humair_book,2,سب آدمی اپنے اپنے عہدوں پر مستعد ہیں، باورچی خانے میں دے گے تھان تھنارھی ہے، آبدار خانے کی بھی تیاری ہے، کوری کوری ٹھلیاں روپے کی گھڑونچیوں پر صافیوں سے ڈھکی ہیں اور تجھروں سے ڈھکی رکھی ہیں۔,17.33,0.7983
humair_book,3,تب انہوں نے فرمایا کہ مرتضیٰ رضی اللہ میرا نام ہے اور میرا یہی کام ہے کہ جس کو جو مشکل کٹھن پیش آوے تو میں اس کو آسان کر دوں۔,11.06,0.7509
humair_book,4,تم سخاوت کا بوجھ نہیں اٹھا سکتے۔,2.91,0.7439
humair_book,5,سوائے اِس بات کے زبان سے کچھ نہ نکلا، فی الحقیقت اب تو تقصیر ہوئی معاف کیجیے، پارے محلّی نے مہریان ہو کر اُس پری کے مکان کا نشان لگایا اور مجھے رخصت کیا،آپ اُن دونوں زخمیوں کے گھاؤں کے داغنے کی فکر میں رہا۔,18.43,0.7911
humair_book,6,آگے چوکی پر ڈونگے کٹورے، بمعِ تھالی، سریوش، دھرے برف کے آب خورے لگ رہے ہیں اور شورے کی صراحیاں ہل رہی ہیں۔,10.12,0.8239
humair_book,7,"اور پھر ایک بار گئی، عاجز کو یوں سر بلند کیا؟
",3.8,0.7871
humair_book,8,سچ مچ یہ تماشا ہوا جیسے چودھویں رات کے چاند کو گرہن لگتا ہے۔,5.52,0.7272
humair_book,9,جب یہ احوال ناامیدی کا سنا، ایسی بدحواس ہو گئی گویا مجھ پر قیامت ٹوٹی۔,6.45,0.7566
humair_book,10,غرض بہتری خاک چھانی لیکن اُس گوہر نایاب کی نشانی نہ پائی۔,4.85,0.7341
humair_book,11,نظر کی مجال نہ تھی جو اس کے جمال پر ٹھہرے۔,3.75,0.7673
humair_book,12,بھلا ایک زخم اور بھی لگا، میں نے اپنا تیرا انصاف خدا کو سونپا۔,5.35,0.7332
humair_book,13,میں ابتدا سے کہتا ہوں، تا انتہا سنو!,2.99,0.6818
humair_book,14,ہرچند انہوں نے میرے غائب ہونے کی کیفیت دور اندیشی اور مہر مادری سے چھپائی تھی کہ خدا جانے اس کا انجام کیا ہو، ابھی یہ رسوائی ظاہر کرنی خوب نہیں، میرے بدلے میرے عیبوں کو اپنے پیٹ میں رکھ چھوڑا تھا، لیکن میری تلاش میں تھیں۔,19.46,0.8061
humair_book,15,بارے خدا خدا کر کے صبح جب نزدیک ہوئی، مرغ بولا، آدمیوں کی آواز آنے لگی۔,7.01,0.8138
humair_book,16,یہ دونوں کی باتیں حاتم نے سنیں، مروی ہے اور مروت سے بعید جانا کہ اپنے تائیں چھپائے اور جان کو بچائے اور ان دونوں بے چاروں کو مطلب تک نہ پہنچائے۔,12.39,0.7738
humair_book,17,میرے طرف دھیان نہ کیا۔,2.41,0.6736
humair_book,18,موافقِ قدر و منزلت کے ہر ایک کو سر فرازی ہوئی۔,4.11,0.7871
humair_book,19,تو نے جان و مال سے میری خاطر کی اور جو کچھ اپنی بساط تھی، حاضر کی۔,5.63,0.824
humair_book,20,جب نو فل کے روبرو لے گئے تو اس نے یہ پوچھا کے اس کو کون پکڑ لایا؟,5.47,0.7987
humair_book,21,"سن کر مسکرایا اور بولا ""مناسب ہے کہ صاحب بھی اپنا لباس بدل ڈالیں۔""",6.3,0.7846
humair_book,22,میں نے بہت منت کی اور ہاتھ جوڑ کر کہا، تمہاری تشفی دینے سے میری بھی زندگی ہوئی، نہیں تو سوائے مرنے کے کچھ سوجھتا نہ تھا، خدا تمہیں سلامت رکھے۔,11.43,0.7691
humair_book,23,ساری رات دروازے گھروں کے بند نہ ہوتے اور دکانیں بازار کی کھلی رہتیں۔,6.25,0.7633
humair_book,24,طاقت بدن میں مطلق نہ رہی،اپاہج ہو کر اسی مسجد کی دیوار کے تلے جا پڑا کہ ایک روز وہی خواجہ سرا جمعے کی نماز پڑھنے آیا، میرے پاس سے ہو کر چلا، میں یہ شعر آہستگی سے پڑھ رہا تھا؛ اس دردِ دل سے موت ہو یا دل کو تاب ہو، قسمت میں جو لکھا ہوا ہے، وہی شتاب ہو۔ اگرچہ ظاہر میں صورت میری بالکل تبدیل ہو گئی تھی، چہرے کی یہ شکل بنی تھی کہ جن نے مجھے پہلے دیکھا تھا، وہ بھی نہ پہچان سکتا کہ یہ وہی آدمی ہے۔,37.15,0.842
humair_book,25,حکم کرتے ہی تھوڑے دنوں میں ایسی نقب تیار ہوئی کہ جب سانجھ ہوتی تو چپکے ہی وہ خواجہ سر اس جوان کو اسی راہ سے لے آتا۔,10.16,0.7903
humair_book,26,میں اپنے دل کو ہر چند سنبھالتی پر اس کافر کی صورت جی میں ایسی کھپ گئی تھی، یہی جی چاہتا کہ مارے پیار کے اسے کلیجے میں ڈال رکھوں اور اپنی آنکھوں سے ایک پل جدا نہ کروں۔,13.51,0.7931
humair_book,27,اُس مرد آدمی نے کہا، یہ وہی کم بخت بد نصیب ہے جو حضور کی خفلی اور عطاآب میں پڑا تھا۔,7.35,0.8322
humair_book,28,راہ میں جو کچھ مصیبتیں قسمت میں لکھی تھیں، کینچتا ہوا اس بادشاہ زادی کی ملاقات کے بھروسے، خدا کے فضل سے یہاں تک پہنچا، اور خوش نصیبی سے تمہاری خدمت میں مشرف ہوا۔,13.89,0.7854
humair_book,29,تمام دن جیسے روزہ دار شام ہونے کا انتظار کھینچتا ہے، میں نے بھی دو روز ویسی ہی بے قراری میں کاٹا۔,8.19,0.7593
humair_book,30,غرض جس کے گھر میں اتنی دولت اور ایک لڑکا ہو، اس کا لاڈ پیار کا کیا ٹھکانا ہے؟,6.78,0.8005
humair_book,31,اس واسطے کہ آدمی کا دل خدا کا گھر ہے۔,3.51,0.7325
humair_book,32,پچھلے پہر ڈاکا آیا، جو کچھ مال و اسباب پایا لوٹ لیا، گہنے کے لالچ سے اس بی بی کو بھی گھائل کیا۔,9.19,0.8025
humair_book,33,تونے مجھے نہال کیا، لیکن مردوں کو خدا نے کمانے کے لیے بنایا ہے، گھر میں بیٹھے رہنا ان کو لازم نہیں۔,8.23,0.7471
humair_book,34,غرض، قسمت کی خوبی اس ملک کی تھی، جوایسا حاکم تشریف لایا، جس کے قدم کے فیض سے ایک عالم نے آرام پایا۔,10.68,0.8198
humair_book,35," آدمان باتوں سے سوائے اُس خوج کے اور دودائیوں کے (جنھوں نے مجھے دودھ پلا کر پالا تھا) چوتھا آدمی
 کوئی واقف نہیں تھا۔",10.1,0.8116
humair_book,36,دو ہیں طبیب آ کر جمع ہوئے۔,2.21,0.6327
humair_book,37,دیر نہ کیجیے، سچ ہے معشوق بن کر کچھ اچھا نہیں لگتا۔,4.84,0.6792
humair_book,38,نبضِ قارورہ دیکھ کر بہت غور کیا۔,3.33,0.7842
humair_book,39,جس کی یہ قدرت اور سکت ہو، سکی حمد و ثنا میں زبان انسان کی گویا گونگی ہے، کہیے تو کیا کہیے، بہتر یو ہے کہ جس بات میں دم نہ مار سکے، چُپکا ہو رہے۔,14.95,0.7922
humair_book,40,پس عبادت بھی اس روز کام نہ آئے گی۔,3.79,0.7468
humair_book,41,فی الفور قلمدان آگے رکھ دیا۔,2.35,0.6564
humair_book,42,ہر دم اُس کی خاطر داری کرتی، آخر کو میری یہ حالت پہنچی کہ اگر ایک دم پیچھے ضروری کام کو میرے سامنے سے جاتا تو چین نہ آتا۔,10.44,0.7832
humair_book,43,اندر سے گھوراکر بولے، اس وقت دروازہ کھولنے کا حکم نہیں، کیوں اتنی رات گئے تم آئے؟,6.54,0.7793
humair_book,44,ندہڑک بول اٹھا کہ اب اِس طور کی زندگی کو دل نہیں چاہتا۔,5.08,0.7741
humair_book,45,یہ کہاوت ہے۔,1.19,0.6984
humair_book,46,ایک روز ایک مصاحب دانانہ کہ خوب تواریخ دان اور جہاں دیدہ تھا، مذکور کیا کہ اگرچہ آدمی کی زندگی کا کچھ بھروسہ نہیں، لیکن اکثر وصف ایسے ہیں کہ ان کے سبب سے انسان کا نام قیامت تک زبانوں پر خوب چلا جائے گا۔,18.63,0.7999
humair_book,47,ہمارے ہاتھ حاتم کا ہے؟ کوئی آوے گا اور بادشاہ روپے دلاوے گا؟,4.81,0.8211
humair_book,48,اس کا عذاب میرے نام لکھا جائے گا۔,2.97,0.6832
humair_book,49,میں نے سارا احوال مول تول کا اور مہمانی کے بصد ہونے کا کہہ سنایا۔,5.59,0.739
humair_book,50,میں نے معلوم کیا کہ اس احمق نے بڑی خواہش سے اس کو لیا ہے۔,4.56,0.7788
humair_book,51,فقیر اس کے دیکھنے سے ڈر گیا۔,2.49,0.6145
humair_book,52,چندے بیکاری گزری۔,2.16,0.6539
humair_book,53,جب تھوڑی سی رات باقی رہی، بادشاہ زادی مردانہ لباس پہن کر اور پانچھو ہتھیار باندھ کر ایک ایک گھوڑے پر سوار ہوئی، اور دوسرے مرتبے پر میں مسلح ہو کر چڑھ بیٹھا، اور ایک طرف کی راہ لی۔,14.01,0.8462
humair_book,54,میں حیران ہوا لیکن اپنا گھر جان کر قدم اندر رکھا۔,4.39,0.7123
humair_book,55,ہر ایک سے پوچھتا پھرتا تھا کہ اس شہر میں جراح کاری گر کون ہے اور کہاں رہتا ہے؟,6.25,0.7691
humair_book,56,اتنے عرصے میں یہ سب تیاری کیوں کر ہوئی؟,3.08,0.7368
humair_book,57,آدمی اناج کا کیڑا ہے۔,2.73,0.6042
humair_book,58,یہ کہہ کر اسی بے ہوشی کے عالم میں دوپٹے کا آنچل منہ پر لے لیا۔,4.55,0.7965
humair_book,59,کیا جانیں یہ دیو ہیں یا غول بیابانی ہے ہیں کہ آدمی کی صورت بن کر باہم مل بیٹھے ہیں۔,7.15,0.7932
