dataset,sample_id,sr_no,emotion,file_name,reference_source_path,urdu_text,audio_duration_sec,edge_voice,ref_gen_similarity,ref_self_similarity,ref_anchor_similarity,anchor_gen_similarity
urduser,urduser_01,1,غصہ,1_0_1_01,/content/drive/MyDrive/UrduSER A Dataset for Urdu Speech Emotion Recognition/UrduSER A Dataset for Urdu Speech Emotion Recognition/Angry/1_0_1_01.wav,اور تم سارے شہر میں یہ ڈھنڈورا پیٹتی آ رہی ہو ,3.1812244897959183,ur-PK-AsadNeural,0.6178397536277771,1.0,0.7865242958068848,0.5307925939559937
urduser,urduser_02,2,غصہ,1_0_1_02,/content/drive/MyDrive/UrduSER A Dataset for Urdu Speech Emotion Recognition/UrduSER A Dataset for Urdu Speech Emotion Recognition/Angry/1_0_1_02.wav,تم نہیں سمجھ رہی ہو تمہیں سمجھ نہیں آ رہی ہے,2.414875283446712,ur-PK-AsadNeural,0.5042237043380737,1.0,0.7283447980880737,0.5394237637519836
urduser,urduser_03,3,غصہ,1_0_1_03,/content/drive/MyDrive/UrduSER A Dataset for Urdu Speech Emotion Recognition/UrduSER A Dataset for Urdu Speech Emotion Recognition/Angry/1_0_1_03.wav,نکلو یہاں سے باہر، چلو جاؤ,2.3336054421768706,ur-PK-AsadNeural,0.6162043809890747,1.0,0.7873943448066711,0.48752784729003906
urduser,urduser_04,4,غصہ,1_0_1_04,/content/drive/MyDrive/UrduSER A Dataset for Urdu Speech Emotion Recognition/UrduSER A Dataset for Urdu Speech Emotion Recognition/Angry/1_0_1_04.wav,بکواس کر رہے ہو تم,1.474467120181406,ur-PK-AsadNeural,0.5969312787055969,1.0,0.6437642574310303,0.4711037576198578
urduser,urduser_05,5,غصہ,1_0_1_05,/content/drive/MyDrive/UrduSER A Dataset for Urdu Speech Emotion Recognition/UrduSER A Dataset for Urdu Speech Emotion Recognition/Angry/1_0_1_05.wav,اگر اسے بات کرنے کی تمیز نہیں ہے تو اسے اس گھر میں بھی رہنے کی کوئی ضرورت نہیں ہے,5.944285714285714,ur-PK-AsadNeural,0.5047779083251953,1.0,0.6925008296966553,0.5142925977706909
urduser,urduser_06,6,غصہ,1_0_1_06,/content/drive/MyDrive/UrduSER A Dataset for Urdu Speech Emotion Recognition/UrduSER A Dataset for Urdu Speech Emotion Recognition/Angry/1_0_1_06.wav,احسان کے گھر میں پینٹ کا کام مکمل نہیں ہوا ابھی تک اور تم کہہ رہے ہو کہ میں نے سارے کام کر دیے ہیں ,4.564489795918368,ur-PK-AsadNeural,0.5644861459732056,1.0,0.783519446849823,0.5900724530220032
urduser,urduser_07,7,غصہ,1_0_1_07,/content/drive/MyDrive/UrduSER A Dataset for Urdu Speech Emotion Recognition/UrduSER A Dataset for Urdu Speech Emotion Recognition/Angry/1_0_1_07.wav,زبیر بس بس، چلو یہاں سے,3.5030839002267573,ur-PK-AsadNeural,0.58433598279953,1.0,0.6289101839065552,0.5580155849456787
urduser,urduser_08,8,غصہ,1_0_1_08,/content/drive/MyDrive/UrduSER A Dataset for Urdu Speech Emotion Recognition/UrduSER A Dataset for Urdu Speech Emotion Recognition/Angry/1_0_1_08.wav,بس بس میں آ گیا ہوں نا مرتسم خان، مجھ سے بات کرو,6.408707482993197,ur-PK-AsadNeural,0.5531037449836731,1.0,0.7724699974060059,0.5077838897705078
urduser,urduser_09,9,غصہ,1_0_1_09,/content/drive/MyDrive/UrduSER A Dataset for Urdu Speech Emotion Recognition/UrduSER A Dataset for Urdu Speech Emotion Recognition/Angry/1_0_1_09.wav,میں نے دوستی کا ہاتھ بڑھایا تو ہاتھ تھام لیا اس نے,3.8312925170068026,ur-PK-AsadNeural,0.6081526279449463,1.0,0.7669371962547302,0.5626896023750305
urduser,urduser_10,19,غصہ,1_0_1_19,/content/drive/MyDrive/UrduSER A Dataset for Urdu Speech Emotion Recognition/UrduSER A Dataset for Urdu Speech Emotion Recognition/Angry/1_0_1_19.wav,میری اجازت کے بغیر میری زمینوں میں گھسے اور میرے ہی بندوں کو پکڑ کے لے گئے تم,4.098321995464852,ur-PK-AsadNeural,0.5099623203277588,1.0000001192092896,0.758959949016571,0.4722326695919037
urduser,urduser_11,413,خوف,2_0_2_13,/content/drive/MyDrive/UrduSER A Dataset for Urdu Speech Emotion Recognition/UrduSER A Dataset for Urdu Speech Emotion Recognition/Fear/2_0_2_13.wav,یہ تو تم سمجھتی ہو یہ تو ہمیں اپنا دشمن سمجھتے ہیں اور ہمارے خلاف ایف ائی ار کٹوانے جا رہی ہے,4.436507936507937,ur-PK-AsadNeural,0.6069900989532471,1.0,0.8144282698631287,0.5946518182754517
urduser,urduser_12,414,خوف,2_0_2_14,/content/drive/MyDrive/UrduSER A Dataset for Urdu Speech Emotion Recognition/UrduSER A Dataset for Urdu Speech Emotion Recognition/Fear/2_0_2_14.wav,جو بھی ہے منت تم اس معاملے میں نہیں بولو گی,2.7859637188208617,ur-PK-AsadNeural,0.37471145391464233,1.0,0.7532656788825989,0.44249433279037476
urduser,urduser_13,415,خوف,2_0_2_15,/content/drive/MyDrive/UrduSER A Dataset for Urdu Speech Emotion Recognition/UrduSER A Dataset for Urdu Speech Emotion Recognition/Fear/2_0_2_15.wav,جو بات کروں گا میں کروں گا مجھے پتہ ہے اس گھر کی عزت کو کیسے بچانا ہے,3.5755555555555554,ur-PK-AsadNeural,0.6119047999382019,1.0,0.7943093776702881,0.5820083618164062
urduser,urduser_14,416,خوف,2_0_2_16,/content/drive/MyDrive/UrduSER A Dataset for Urdu Speech Emotion Recognition/UrduSER A Dataset for Urdu Speech Emotion Recognition/Fear/2_0_2_16.wav,اس وقت میرا مسئلہ عزت ہے جس سے مجھے بچانا ہے,3.0566213151927437,ur-PK-AsadNeural,0.6104041934013367,1.0,0.7811904549598694,0.5731895565986633
urduser,urduser_15,417,خوف,2_0_2_17,/content/drive/MyDrive/UrduSER A Dataset for Urdu Speech Emotion Recognition/UrduSER A Dataset for Urdu Speech Emotion Recognition/Fear/2_0_2_17.wav,تم سے کس نے کہا تھا ٹریٹمنٹ کے لیے,1.4465986394557824,ur-PK-AsadNeural,0.5145090818405151,1.0,0.6381757855415344,0.4629020392894745
urduser,urduser_16,418,خوف,2_0_2_18,/content/drive/MyDrive/UrduSER A Dataset for Urdu Speech Emotion Recognition/UrduSER A Dataset for Urdu Speech Emotion Recognition/Fear/2_0_2_18.wav,اس سارے قصے میں ہمیں الزام دینا ہمارے ساتھ سراسر زیادتی ہے,3.657573696145125,ur-PK-AsadNeural,0.7118361592292786,1.0,0.8217345476150513,0.6499323844909668
urduser,urduser_17,419,خوف,2_0_2_19,/content/drive/MyDrive/UrduSER A Dataset for Urdu Speech Emotion Recognition/UrduSER A Dataset for Urdu Speech Emotion Recognition/Fear/2_0_2_19.wav,اب میڈیا میں کیس اچھلے گا اخباروں میں ائے گا پھر عدالتوں کے چکر لگیں گ,3.9669160997732424,ur-PK-AsadNeural,0.646735668182373,1.0,0.8675968050956726,0.6196642518043518
urduser,urduser_18,420,خوف,2_0_2_20,/content/drive/MyDrive/UrduSER A Dataset for Urdu Speech Emotion Recognition/UrduSER A Dataset for Urdu Speech Emotion Recognition/Fear/2_0_2_20.wav,تو تمہیں کیا لگتا ہے اس نے تمہارا نام گواہ کے طور پر لیا ہے,3.5621315192743763,ur-PK-AsadNeural,0.5783650279045105,1.0,0.7913790345191956,0.5540235638618469
urduser,urduser_19,421,خوف,2_0_2_21,/content/drive/MyDrive/UrduSER A Dataset for Urdu Speech Emotion Recognition/UrduSER A Dataset for Urdu Speech Emotion Recognition/Fear/2_0_2_21.wav,فوجی دروازہ کھولو فوجی ہمارا بھائی مر گیا ہے,4.708390022675737,ur-PK-AsadNeural,0.568730890750885,1.0000001192092896,0.8365033268928528,0.4854661226272583
urduser,urduser_20,422,خوف,2_0_2_22,/content/drive/MyDrive/UrduSER A Dataset for Urdu Speech Emotion Recognition/UrduSER A Dataset for Urdu Speech Emotion Recognition/Fear/2_0_2_22.wav,ہاں نہیں میں نے تو نہیں کیا ہی ہے دیکھ لو تم,2.8349886621315195,ur-PK-AsadNeural,0.5415237545967102,1.0,0.8228418231010437,0.5206311941146851
urduser,urduser_21,490,بوریت,2_0_3_40,/content/drive/MyDrive/UrduSER A Dataset for Urdu Speech Emotion Recognition/UrduSER A Dataset for Urdu Speech Emotion Recognition/Boredom/2_0_3_40.wav,بس ابھی صرف اس کیس کو سنبھالو,2.092267573696145,ur-PK-AsadNeural,0.5781912803649902,1.0,0.6752418279647827,0.565054178237915
urduser,urduser_22,491,بوریت,2_0_3_41,/content/drive/MyDrive/UrduSER A Dataset for Urdu Speech Emotion Recognition/UrduSER A Dataset for Urdu Speech Emotion Recognition/Boredom/2_0_3_41.wav,وہ کہہ رہا تھا اگر تم واپس انا چاہو تو ایسا ہو سکتا ہے,3.897687074829932,ur-PK-AsadNeural,0.6071816086769104,1.0000001192092896,0.8538105487823486,0.5953020453453064
urduser,urduser_23,492,بوریت,2_0_3_42,/content/drive/MyDrive/UrduSER A Dataset for Urdu Speech Emotion Recognition/UrduSER A Dataset for Urdu Speech Emotion Recognition/Boredom/2_0_3_42.wav,شایان بہت اذیت سے گزرا ہے,1.5651473922902495,ur-PK-AsadNeural,0.4314817190170288,1.0,0.7785125970840454,0.4387155771255493
urduser,urduser_24,493,بوریت,2_0_3_43,/content/drive/MyDrive/UrduSER A Dataset for Urdu Speech Emotion Recognition/UrduSER A Dataset for Urdu Speech Emotion Recognition/Boredom/2_0_3_43.wav,ایسے فضول باتیں کرتا رہتا ہے,2.3448072562358275,ur-PK-AsadNeural,0.6043450236320496,1.0,0.9115300178527832,0.6023946404457092
urduser,urduser_25,494,بوریت,2_0_3_44,/content/drive/MyDrive/UrduSER A Dataset for Urdu Speech Emotion Recognition/UrduSER A Dataset for Urdu Speech Emotion Recognition/Boredom/2_0_3_44.wav,تو میں تو میری بھی کوئی فکر نہیں ہے,1.4573696145124717,ur-PK-AsadNeural,0.5003244876861572,1.0,0.8426187038421631,0.4749312400817871
urduser,urduser_26,495,بوریت,2_0_3_45,/content/drive/MyDrive/UrduSER A Dataset for Urdu Speech Emotion Recognition/UrduSER A Dataset for Urdu Speech Emotion Recognition/Boredom/2_0_3_45.wav,میں نے غلط نہیں کیا خالہ,2.2640136054421767,ur-PK-AsadNeural,0.4805464744567871,1.0,0.7167150974273682,0.514404833316803
urduser,urduser_27,496,بوریت,2_0_3_46,/content/drive/MyDrive/UrduSER A Dataset for Urdu Speech Emotion Recognition/UrduSER A Dataset for Urdu Speech Emotion Recognition/Boredom/2_0_3_46.wav,فکر ہے تو صرف دل مہر کی,1.6487074829931974,ur-PK-AsadNeural,0.4441035985946655,1.0,0.7090171575546265,0.39543265104293823
urduser,urduser_28,497,بوریت,2_0_3_47,/content/drive/MyDrive/UrduSER A Dataset for Urdu Speech Emotion Recognition/UrduSER A Dataset for Urdu Speech Emotion Recognition/Boredom/2_0_3_47.wav,بغیر ملے ہی جا رہی تھی,1.238888888888889,ur-PK-AsadNeural,0.4529935121536255,1.0,0.6810911893844604,0.4727930724620819
urduser,urduser_29,498,بوریت,2_0_3_48,/content/drive/MyDrive/UrduSER A Dataset for Urdu Speech Emotion Recognition/UrduSER A Dataset for Urdu Speech Emotion Recognition/Boredom/2_0_3_48.wav,تم نے اس سے کہا ہے  ائندہ یہاں نہیں اؤں گی,2.279546485260771,ur-PK-AsadNeural,0.4847235083580017,1.0,0.7949113845825195,0.48775580525398254
urduser,urduser_30,499,بوریت,2_0_3_49,/content/drive/MyDrive/UrduSER A Dataset for Urdu Speech Emotion Recognition/UrduSER A Dataset for Urdu Speech Emotion Recognition/Boredom/2_0_3_49.wav,اپ نے سنا نہیں تھا اس نے کیا کہا تھا,2.2640136054421767,ur-PK-AsadNeural,0.43641480803489685,1.0,0.7383699417114258,0.43861353397369385
urduser,urduser_31,531,ناگواری,2_0_4_31,/content/drive/MyDrive/UrduSER A Dataset for Urdu Speech Emotion Recognition/UrduSER A Dataset for Urdu Speech Emotion Recognition/Disgust/2_0_4_31.wav,نہیں مان رہا نا وہ بڈھا گھر ا کر اس نے کافی ہنگامہ کیا ہے,2.7892290249433107,ur-PK-AsadNeural,0.5577371716499329,1.0000001192092896,0.8022122383117676,0.5960034728050232
urduser,urduser_32,532,ناگواری,2_0_4_32,/content/drive/MyDrive/UrduSER A Dataset for Urdu Speech Emotion Recognition/UrduSER A Dataset for Urdu Speech Emotion Recognition/Disgust/2_0_4_32.wav,دیے تو تھے پیسے اس کا بل الگ ہوگا,1.9964172335600907,ur-PK-AsadNeural,0.5547568798065186,1.0,0.7532247304916382,0.6222284436225891
urduser,urduser_33,533,ناگواری,2_0_4_33,/content/drive/MyDrive/UrduSER A Dataset for Urdu Speech Emotion Recognition/UrduSER A Dataset for Urdu Speech Emotion Recognition/Disgust/2_0_4_33.wav,میں نہیں چاہتا میرا پیٹ خراب ہو جائے یہ لو,1.9302040816326531,ur-PK-AsadNeural,0.4678903818130493,1.0000001192092896,0.7271196842193604,0.5088610053062439
urduser,urduser_34,534,ناگواری,2_0_4_34,/content/drive/MyDrive/UrduSER A Dataset for Urdu Speech Emotion Recognition/UrduSER A Dataset for Urdu Speech Emotion Recognition/Disgust/2_0_4_34.wav,اچھا بس ٹھیک ہے زیادہ غصہ کرنے کی ضرورت نہیں ہے,2.4438095238095237,ur-PK-AsadNeural,0.5027289986610413,1.0,0.7612082958221436,0.5187454223632812
urduser,urduser_35,535,ناگواری,2_0_4_35,/content/drive/MyDrive/UrduSER A Dataset for Urdu Speech Emotion Recognition/UrduSER A Dataset for Urdu Speech Emotion Recognition/Disgust/2_0_4_35.wav,جب ایف ائی ار کٹ رہی تھی اس وقت کہاں تھی تم,1.8236281179138323,ur-PK-AsadNeural,0.5524961352348328,1.0,0.8002917766571045,0.5474401712417603
urduser,urduser_36,536,ناگواری,2_0_4_36,/content/drive/MyDrive/UrduSER A Dataset for Urdu Speech Emotion Recognition/UrduSER A Dataset for Urdu Speech Emotion Recognition/Disgust/2_0_4_36.wav,تم فکر نہیں کرو دیکھ لوں گا اسے بھی,1.5848979591836734,ur-PK-AsadNeural,0.5105071663856506,1.0,0.88004469871521,0.5056580305099487
urduser,urduser_37,537,ناگواری,2_0_4_37,/content/drive/MyDrive/UrduSER A Dataset for Urdu Speech Emotion Recognition/UrduSER A Dataset for Urdu Speech Emotion Recognition/Disgust/2_0_4_37.wav,اوپر جاؤ جا کر شایان کی بیوی کو بلا کر لاؤ,2.4801587301587302,ur-PK-AsadNeural,0.4774719476699829,1.0,0.8295655250549316,0.4643174111843109
urduser,urduser_38,538,ناگواری,2_0_4_38,/content/drive/MyDrive/UrduSER A Dataset for Urdu Speech Emotion Recognition/UrduSER A Dataset for Urdu Speech Emotion Recognition/Disgust/2_0_4_38.wav,اتنی محبت اتنا پیار اتنا عیش و ارام کس چیز کی کمی تھی,3.926326530612245,ur-PK-AsadNeural,0.5832130908966064,1.0,0.9407036304473877,0.5674589276313782
urduser,urduser_39,539,ناگواری,2_0_4_39,/content/drive/MyDrive/UrduSER A Dataset for Urdu Speech Emotion Recognition/UrduSER A Dataset for Urdu Speech Emotion Recognition/Disgust/2_0_4_39.wav,کم از کم  اج میں ضمیر کی عدالت میں سرخرو ہو گیا کہ میں نے تمہیں ایک لاسٹ چانس دیا,4.45546485260771,ur-PK-AsadNeural,0.5377222299575806,1.0,0.895735502243042,0.539307177066803
urduser,urduser_40,540,ناگواری,2_0_4_40,/content/drive/MyDrive/UrduSER A Dataset for Urdu Speech Emotion Recognition/UrduSER A Dataset for Urdu Speech Emotion Recognition/Disgust/2_0_4_40.wav,تمہاری  یہ ہٹ دھرمی یہ انداز مجھے اور میرے گھر کو قبول نہیں ہے,4.001814058956916,ur-PK-AsadNeural,0.6376900672912598,1.0,0.9148021340370178,0.5881893634796143
urduser,urduser_41,564,خوشی,2_0_5_14,/content/drive/MyDrive/UrduSER A Dataset for Urdu Speech Emotion Recognition/UrduSER A Dataset for Urdu Speech Emotion Recognition/Happy/2_0_5_14.wav,کھانا تو وہ ایسا زبردست بناتا ہے,2.3485714285714288,ur-PK-AsadNeural,0.6585121154785156,1.0,0.8510853052139282,0.6183704137802124
urduser,urduser_42,565,خوشی,2_0_5_15,/content/drive/MyDrive/UrduSER A Dataset for Urdu Speech Emotion Recognition/UrduSER A Dataset for Urdu Speech Emotion Recognition/Happy/2_0_5_15.wav,انگلیاں چاٹتی رہ جاؤ,0.9718820861678005,ur-PK-AsadNeural,0.6559240221977234,1.0000001192092896,0.7733357548713684,0.5980871915817261
urduser,urduser_43,566,خوشی,2_0_5_16,/content/drive/MyDrive/UrduSER A Dataset for Urdu Speech Emotion Recognition/UrduSER A Dataset for Urdu Speech Emotion Recognition/Happy/2_0_5_16.wav,کیا بات کر دی تم نے ابھی لایا,1.7475963718820862,ur-PK-AsadNeural,0.5037999153137207,1.0000001192092896,0.8406394720077515,0.42142176628112793
urduser,urduser_44,567,خوشی,2_0_5_17,/content/drive/MyDrive/UrduSER A Dataset for Urdu Speech Emotion Recognition/UrduSER A Dataset for Urdu Speech Emotion Recognition/Happy/2_0_5_17.wav,ہاں ہاں یہی تو,1.526190476190476,ur-PK-AsadNeural,0.48423177003860474,1.0,0.8556137084960938,0.4424038529396057
urduser,urduser_45,568,خوشی,2_0_5_18,/content/drive/MyDrive/UrduSER A Dataset for Urdu Speech Emotion Recognition/UrduSER A Dataset for Urdu Speech Emotion Recognition/Happy/2_0_5_18.wav,یہ ساری باتیں تمہیں کیسے بتاتا,1.6764172335600906,ur-PK-AsadNeural,0.5809061527252197,1.0,0.7665579915046692,0.5262564420700073
urduser,urduser_46,569,خوشی,2_0_5_19,/content/drive/MyDrive/UrduSER A Dataset for Urdu Speech Emotion Recognition/UrduSER A Dataset for Urdu Speech Emotion Recognition/Happy/2_0_5_19.wav,ہائے شکر ہے اس کا مطلب ہے نہیں بتایا,2.24578231292517,ur-PK-AsadNeural,0.6642687320709229,1.0,0.7377498149871826,0.542515754699707
urduser,urduser_47,570,خوشی,2_0_5_20,/content/drive/MyDrive/UrduSER A Dataset for Urdu Speech Emotion Recognition/UrduSER A Dataset for Urdu Speech Emotion Recognition/Happy/2_0_5_20.wav,ہاں ہاں تبسم کیسی ہو تم,2.8072108843537413,ur-PK-AsadNeural,0.6012088656425476,1.0,0.7474790811538696,0.4980134963989258
urduser,urduser_48,571,خوشی,2_0_5_21,/content/drive/MyDrive/UrduSER A Dataset for Urdu Speech Emotion Recognition/UrduSER A Dataset for Urdu Speech Emotion Recognition/Happy/2_0_5_21.wav,ہم لوگ کہیں باہر گھومنے چلتے ہیں,1.5024489795918368,ur-PK-AsadNeural,0.5621331930160522,1.0,0.774412989616394,0.5696312189102173
urduser,urduser_49,572,خوشی,2_0_5_22,/content/drive/MyDrive/UrduSER A Dataset for Urdu Speech Emotion Recognition/UrduSER A Dataset for Urdu Speech Emotion Recognition/Happy/2_0_5_22.wav,زبردست ہو گیا ہے کام,1.2414965986394557,ur-PK-AsadNeural,0.71844482421875,1.0,0.7504266500473022,0.6095031499862671
urduser,urduser_50,573,خوشی,2_0_5_23,/content/drive/MyDrive/UrduSER A Dataset for Urdu Speech Emotion Recognition/UrduSER A Dataset for Urdu Speech Emotion Recognition/Happy/2_0_5_23.wav,جواب مجھے پتہ چل گیا ہے,1.1466213151927438,ur-PK-AsadNeural,0.6585158109664917,1.0,0.7365866303443909,0.6406393647193909
urduser,urduser_51,654,افسردہ,2_0_7_04,/content/drive/MyDrive/UrduSER A Dataset for Urdu Speech Emotion Recognition/UrduSER A Dataset for Urdu Speech Emotion Recognition/Sad/2_0_7_04.wav,ٹھیک ہے حادثہ بہت بڑا ہے لیکن,3.575873015873016,ur-PK-AsadNeural,0.6098827123641968,1.0,0.8497579097747803,0.5494013428688049
urduser,urduser_52,655,افسردہ,2_0_7_05,/content/drive/MyDrive/UrduSER A Dataset for Urdu Speech Emotion Recognition/UrduSER A Dataset for Urdu Speech Emotion Recognition/Sad/2_0_7_05.wav,جب تک نایاب کا علاج چل رہا ہے کہاں اپ کو پریشان ہوتے پھریں گے بسو اور رکشوں کے چکر میں,5.863038548752835,ur-PK-AsadNeural,0.7096405625343323,1.0,0.8950050473213196,0.6620564460754395
urduser,urduser_53,656,افسردہ,2_0_7_06,/content/drive/MyDrive/UrduSER A Dataset for Urdu Speech Emotion Recognition/UrduSER A Dataset for Urdu Speech Emotion Recognition/Sad/2_0_7_06.wav,ہاسپٹل سے فون ایا تھا وجی کا نایاب کی ڈیتھ ہو گئی ہے,4.481451247165533,ur-PK-AsadNeural,0.5629059076309204,1.0,0.8040663003921509,0.6041514873504639
urduser,urduser_54,657,افسردہ,2_0_7_07,/content/drive/MyDrive/UrduSER A Dataset for Urdu Speech Emotion Recognition/UrduSER A Dataset for Urdu Speech Emotion Recognition/Sad/2_0_7_07.wav,زفرا تم اتنا سٹریس مت لو ابھی تمہیں وہاں جانا ہے,5.572789115646258,ur-PK-AsadNeural,0.5871565341949463,1.0,0.8260486721992493,0.5602683424949646
urduser,urduser_55,660,افسردہ,2_0_7_10,/content/drive/MyDrive/UrduSER A Dataset for Urdu Speech Emotion Recognition/UrduSER A Dataset for Urdu Speech Emotion Recognition/Sad/2_0_7_10.wav,ہاں میرے خیال میں مناسب رہے گا یہ مہینہ,2.907233560090703,ur-PK-AsadNeural,0.6158119440078735,1.0,0.9038114547729492,0.5781082510948181
urduser,urduser_56,661,افسردہ,2_0_7_11,/content/drive/MyDrive/UrduSER A Dataset for Urdu Speech Emotion Recognition/UrduSER A Dataset for Urdu Speech Emotion Recognition/Sad/2_0_7_11.wav,ہاں  بعض دفعہ ایسی غلطیاں ہو جاتی ہیں جنہیں مانتے ہوئے شرم اتی ہے,5.921088435374149,ur-PK-AsadNeural,0.5173311829566956,1.0000001192092896,0.857550859451294,0.5471553206443787
urduser,urduser_57,662,افسردہ,2_0_7_12,/content/drive/MyDrive/UrduSER A Dataset for Urdu Speech Emotion Recognition/UrduSER A Dataset for Urdu Speech Emotion Recognition/Sad/2_0_7_12.wav,ہم سے خدا حافظ کر کے ایئرپورٹ کے لیے نکلی تھی لیکن سیدھا تھانے چلی گئی,5.379387755102041,ur-PK-AsadNeural,0.6126278638839722,1.0,0.7961738109588623,0.6001962423324585
urduser,urduser_58,663,افسردہ,2_0_7_13,/content/drive/MyDrive/UrduSER A Dataset for Urdu Speech Emotion Recognition/UrduSER A Dataset for Urdu Speech Emotion Recognition/Sad/2_0_7_13.wav,اج جا کر اس نے وجی کے خلاف ایف ائی ار کٹوائی,3.363832199546485,ur-PK-AsadNeural,0.5519897937774658,1.0000001192092896,0.7290779948234558,0.5164496302604675
urduser,urduser_59,664,افسردہ,2_0_7_14,/content/drive/MyDrive/UrduSER A Dataset for Urdu Speech Emotion Recognition/UrduSER A Dataset for Urdu Speech Emotion Recognition/Sad/2_0_7_14.wav,پولیس ہمارے گھر ائی شاید ہمارے ڈرائنگ روم میں,3.7774149659863947,ur-PK-AsadNeural,0.5615085363388062,1.0000001192092896,0.8139182925224304,0.5845843553543091
urduser,urduser_60,665,افسردہ,2_0_7_15,/content/drive/MyDrive/UrduSER A Dataset for Urdu Speech Emotion Recognition/UrduSER A Dataset for Urdu Speech Emotion Recognition/Sad/2_0_7_15.wav,سب کے سامنے وجی کو ہتھکڑی لگا کر اریسٹ کر کے لے گئے,5.314897959183673,ur-PK-AsadNeural,0.5839077830314636,1.0000001192092896,0.931789219379425,0.5707321166992188
