dataset,sample_id,urdu_text,audio_duration_sec,ref_gen_similarity
humair_wiki,0,آشوب چشم کی شناخت آنکھ کی جھلی کی سوزش سے ہوتی ہے، جو جلن اور سرخ پن سے ظاہر ہوتی ہے۔,6.71,0.6946
humair_wiki,1,جَبہَۃُ الاَکْراد شام کی خانہ جنگی میں شامل ایک کرد گروہ ہے۔,4.88,0.618
humair_wiki,2,ایسا لگتا ہے کہ یہ نام میدانی ہاکی کی فرانسیسی اصطلاح لی جیو ڈی لا کراس سے نکلا ہے۔,6.01,0.6237
humair_wiki,3,اس رکاوٹ سے نمٹنے کے لیے، حکومت ہند جی او آئی نے ستمبر انیسو چوسٹھ میں ایک اعلیٰ سطحی کمیٹی کا تقرر کیا تھا.,8.96,0.6092
humair_wiki,4,سری وینکٹیشورا نیشنل پارک بھارت کے آندھرا پردیش میں ایک قومی پارک اور حَياتی کُرّہ ہے۔,6.54,0.6934
humair_wiki,5,مرزا ابو الفضل حاجی علی شیرازی کے پڑ پوتے تھے۔ سنہ عیسوی اٹھارہ سو پینسٹھ میں پیدا ہوئے۔,7.05,0.6084
humair_wiki,6,شائستہ خان نے علاقے سے پرتگالی اور اراکانی قزاقوں کا خاتمہ کیا، اور سولہ سو چھیاسٹھ  میں اراکانی بادشاہ سَندا تھدھمّا سے چٹاگانگ کی بندرگاہ کو دوبارہ حاصل کر لیا۔,14.2,0.6076
humair_wiki,7,بلیک آؤٹ کے دوران سائٹ پر جانے والے صارفین کو ایک پیغام نظر آئے گا جس میں ان سے اپنے نمائندوں اور سینیٹروں کو ای میل کرنے کی ہدایت دی جائے گی۔,10.64,0.6292
humair_wiki,8,غزوۂ اُحد کے بعد فتحِ مکہ تک جس قدر غزوات ہوئے، حضرت طلحہ بن عُبَیدُ اللہ رضی اللہ تعالیٰ عنہ سب میں نمایاں طور پر شریک رہے، بیعتِ رضوان کے وقت بھی موجود تھے اور شرفِ بیعت سے مُشَرَّف ہوئے۔,14.54,0.6818
humair_wiki,9,آخر کار بھوت بھی کھڑکھڑاہٹ کے ساتھ ختم ہو جاتا ہے۔,4.23,0.6566
humair_wiki,10,گھریلو طور پر ہندوستان کا زیادہ تر انحصار بنگالی مصنوعات جیسے چاول، ریشم اور روئی کے کپڑے پر تھا۔,8.81,0.6144
humair_wiki,11,قرآن مجید اسلام کا اصل الاصول ہے، اس کے جمع کرنے کا فخر جس مقدس انسان کو حاصل ہوا وہ حضرت زید بن ثابت رضی اللہ عنہ انصاری کاتِبُ الْوَحْی ہیں۔,13.1,0.657
humair_wiki,12,سنہ دو ہزار نو عیسوی میں انہیں اسلام آباد سے گرفتار کیا گیا تھا کیونکہ وہ عدلیہ کی آزادی کے حق میں چلنے والی تحریک کا حصہ تھیں۔,10.66,0.678
humair_wiki,13,حضرت ابو درداء رضی اللہ تعالیٰ عنہ کا شمار علمائے اصحاب میں ہے، صحابۂ کرام ان کو نگاہِ عظمت سے دیکھتے تھے۔,8.02,0.6016
humair_wiki,14,فلائیٹ لیفٹیننٹ غلام مرتضٰی ملک شہید ملک کالا خان، کہوٹہ، راولپنڈی میں ایک دینی مسلمان گھرانے میں پیدا ہوئے۔,9.57,0.6381
humair_wiki,15,زؤچوان کاؤنٹی لاطینی چین کا ایک عوامی جمہوریہ چین کی کاؤنٹیاں جو جنژونگ میں واقع ہے.,7.66,0.5481
humair_wiki,16,اس مسلئہ سے بآسانی یہ کلیہ اخذ کیا جا سکتا ہے۔,3.99,0.609
humair_wiki,17,ہرش اور پُلکیشن کے درمیان جنگ کی تاریخ پر جدید محققین نے اختلاف کیا ہے۔,5.99,0.6053
humair_wiki,18,ایکالینن کا مرکز جھیل کُروس یروی کے کنارے ہے جو ہائی وے تین ای بارہ کے کنارے پر ہے اور خوبصورت جھیل شمار ہوتی ہے۔,9.04,0.6613
humair_wiki,19,کشیارا کو دریائے کالنی کے نام سے بھی جانا جاتا ہے جب اس کے ساتھ سورما سے آنے والی ایک بڑی شاخ شاخی نہر شامل ہو جاتی ہے.,10.12,0.6217
humair_wiki,20,عبد الالہ بن علی عربی عبد الإلہ شاہ حجاز علی بن حسین کا بیٹا شاہ غازی کا چچا زاد بھائی اور بردار نسبتی تھا.,10.2,0.6548
humair_wiki,21,کنڑ ادب کے تین جواہر آدی کَوی پمپا، سری پونّا اور رنّا اسی دور سے تعلق رکھتے تھے۔,8.07,0.6349
humair_wiki,22,بنگلورو کے بانی کیمپے گوڈا نے سولہویں صدی عیسوی میں تزئین و آرائش کی، مندر گاوی گنگادھریشور ایک فن تعمیر کا عجوبہ ہے جو یقین والوں کو اپنی طرف متوجہ کرتا ہے۔,14.38,0.6422
humair_wiki,23,اجناس کی بڑھتی ہوئی قیمتیں، بے روزگاری، اقتصادی جمود اور خوراک کے بحران پر عام ناراضگی کی وجہ سے کانگریس پارٹی کی لوک سبھا میں انتخابات کے بعد اکثریت کم ہو گئی۔,12.59,0.6826
humair_wiki,24,خشک سالی بھی نہیں سردی ہی پڑتی ہے اور كسان ان ركاوٹوں اور نقصانات سے اس طرح نمٹتے ہیں۔,6.53,0.6691
humair_wiki,25,جینوم کی مدد سے افزائش نسل کے طریقوں کا استعمال کرتے ہوئے ان کی ٹیم نے چنے کی مضبوط قسمیں تیار کی ہیں، جن میں قحط مزاحم قسم بھی شامل ہے۔,10.45,0.6382
humair_wiki,26,مکندرا ہلز نیشنل پارک کوہِسْتانی ہے اور اس میں مختلف قسم کے پودے، درخت اور جانور ہیں۔,7.52,0.5892
humair_wiki,27,اتّر پردیش ہریانہ گجرات بہار مہاراشٹر,5.14,0.5641
humair_wiki,28,شہدائے ھفت تیر میٹرو اسٹیشن,2.45,0.557
humair_wiki,29,کالج کیمپس کے قریب کفایتی تھرفٹ اسٹوروں میں ہمیشہ نامور برانڈ کے کپڑوں کا ذخیرہ ہوتا ہے۔,6.66,0.6169
