dataset,sample_id,urdu_text,audio_duration_sec,ref_gen_similarity,ref_self_similarity
fleurs,fleurs_01,ان کے دور میں خفیف تلوُّث ایزا مسئلہ نہیں تھا جیسا کہ وہ آج ہے ان کی سکونت ایسے شہروں یا حوزات میں ہے جہا ں تک بآسانی پہنچا جا سکتا ہے بہ نسبت ان مقامات کے جو ماڈرن زمانے میں تعمیر کئے گئے,12.24,0.5755486488342285,1.0
fleurs,fleurs_02,فلپائنی فوٹوگرافروں کے ساتھ چھےاغوا شدگان کو جلد رہا کر دیا گیا تھا جِن میں بچّے اور بُوڑھے شامل تھے,6.24,0.5647977590560913,1.0
fleurs,fleurs_03,اس کے لانبے جبڑوں میں 70 سے زیادہ استرے سے تیز دانت جڑے تھے اور اسی کے ساتھ اس کے منہ کے تالو میں دانتوں کی ایک مزید لڑی تھی اس کے معنی یہ ہیں کہ اس کے راستہ میں آنے والی کوئی شے اس سے بھاگ نہیں سکتی,12.12,0.5959069132804871,1.0
fleurs,fleurs_04,اکتوبر میں شروع ہونے والے حکومت مخالف مظاہروں پر مارٹیلی کا ردعمل کمیشن تھا,7.56,0.5452255606651306,1.0
fleurs,fleurs_05,ہسپتال نے انفیکشن پر قابو پانے کے لیے پروٹوکول کی تقلید کی ہے جس میں مریض کو دیگر سے علیحدہ کرنا شامل ہے تاکہ دیگر افراد کے ممکنہ انفیکشن سے بچا جا سکے,10.44,0.5877301692962646,1.0
fleurs,fleurs_06,یہ سمجھدار معلوم ہوتا ہے کیوں کہ زمین ایسا محسوس نہیں کرتی ہے کہ جیسے وہ حرکت کررہی ہے کیا ایسا کرتی ہے,8.82,0.5560333132743835,1.0000001192092896
fleurs,fleurs_07,اُتاوا کناڈا کی دلکشی دو زبانی دارالحکومت ہے اور وہاں متعدد آرٹ گیلریاں اور عجائب گھر ہیں جو کناڈا کے ماضی اور حال کی عکاس ہیں,10.8,0.5676808953285217,1.0000001192092896
fleurs,fleurs_08,جو کوئی اونچے ارض البلد میں گاڑی چلانے جا رہا ہو یا پہاڑیوں سے گزر رہا ہو انہیں ممکنہ برف باری آئس یا منجمد کرنے والے درجہ حرارت کا خیال رکھنا چاہئے,10.38,0.564964234828949,1.0
fleurs,fleurs_09,آپ کے ہاتھ پر موجود نمی بیرونی سطح کے خلاف ردعمل ظاہر کرے گی جس سے سنسناہٹ سی محسوس ہو گی اور ایک خول نما شئے بنا دے گی,9.96,0.5473626852035522,1.0
fleurs,fleurs_10,بالی میں دیگر ایجنڈے میں دنیا کے باقی ماندہ جنگلات کا تحفظ اور کم آلودگی کے طریقے سے ترقی کرنے کیلئے ترقی پذیر ممالک کے ساتھ ٹیکنالوجز کا اشتراک کرنے کا موضوع شامل کیا گیا,11.34,0.5501936674118042,1.0
fleurs,fleurs_11,اٹلانٹک ہریکین سیزن کے دسواں نامی طوفان سب ٹراپیکل اسٹارم جیری آج بحراوقیانوس میں بن گیا,10.62,0.5186693668365479,1.0
fleurs,fleurs_12,آسٹریلیا کے مائیکل گورلی نے مردوں کے اسٹینڈنگ سوپر جی میں گیارہواں مقام حاصل کیا جب کہ مردوں کے سیٹنگ سوپر-جی میں چیک کے حریف اولڈریچ جیلنیک چھٹے مقام پر رہے,11.94,0.5594070553779602,1.0
fleurs,fleurs_13,بکریوں کو غالباً سب سے پہلے ایران کے زغروز پہاڑوں میں قریباً 10،000 سال پہلے گھروں میں پالا گیا۔,8.88,0.49593132734298706,1.0
