dataset,sample_id,urdu_text,audio_duration_sec,ref_gen_similarity
fleurs,0,یہ نظریہ اس دعوی کی تردید کرتا ہے کہ چاند مکمل طور پر ارضیاتی سرگرمی سے محروم ہے,9.48,0.674367368221283
fleurs,1,اس کی باقیات سے بیشتر جزیروں میں بارش ہوئی ہے حالانکہ ابھی تک اس سے کسی قسم کے نقصان یا سیلاب کی اطلاع نہیں ہے,10.32,0.6852907538414001
fleurs,2,u.s. کے مطابق اسے ایک پوشیدہ ذریعے سے معلومات موصول ہوئی ہیں جو خاص طور پر ایتھوپیا اور کینیا میں نمایاں علاقوں کو تباہ کرنے کے لیے خودکش بمباروں کو استعمال کرنے کی نشاندہی کرتی ہیں,19.38,0.710019052028656
fleurs,3,وہ دن میں اردگرد کی سطح کی نسبت زیادہ ٹھنڈے اور رات میں زیادہ گرم ہوتے ہیں,6.84,0.7085515260696411
fleurs,4,رضاعی نگہداشت کا مقصد ان تمام ضروریات کی تکمیل ہے جو اس گھر موجود نہیں تھے جہاں سے انہیں لایا گیا تھا,10.14,0.715869665145874
fleurs,5,نیچے سے یہ بہت دشوار دکھائی دیتا ہے اور یہ ڈھلانی اور چڑھا ئی میں دشوار ہے لیکن اکثر تندرست لوگ اس پر 45 منٹ میں میں چڑھ سکتے ہیں,13.5,0.6139326095581055
fleurs,6,مینار کا سب سے اوپر حصہ خاص اور مقدس مقام تھا خدا کے لیے,7.56,0.7455370426177979
fleurs,7,سب سے پہلے بجلی ٹھیک کرنے کے لئے سوئچ کو بند کرنے یا کیبل منقطع کرنے کی ضرورت ہے,8.52,0.669512152671814
fleurs,8,پیٹھ پر سامان لاد کر برف پر پھسلنا اس عمل کو بیک کنٹری اسکی اسکی ٹورنگ یا اسکی ہائیکنگ بھی کہتے ہیں,11.04,0.6725252866744995
fleurs,9,انیسویں اور بیسویں صدی کے دوران ایک طویل عرصے تک یہ سمجھا جاتا رہا کہ نیوزی لینڈ کے پہلے باشندے ماوری لوگ تھے جو ماوس نامی بڑے پرندے شکار کرتے تھے,14.58,0.6646478772163391
fleurs,10,اس کیس کو ورجینیا میں فائل کیا گیا کیوں کہ یہ سر بر آوردہ انٹرنیٹ سرویس پرووائڈ ر کمپنی اے او ایل کا مستقر ہے اور جس نے ان اتہامات کو شہ دی,19.38,0.6845768690109253
fleurs,11,سات پوائنٹس کے ساتھ پچھڑتے ہوئے، 2،243 کے ساتھ جانسن دوسرے نمبر پر ہے۔,10.44,0.6450628042221069
fleurs,12,آج سویرے ہوائؤں کی رفتار تقریباً 83 کلومیٹر فی گھنٹہ تھی اور امید تھی کہ کم ہو جائے گی,11.82,0.7067556381225586
