dataset,sample_id,urdu_text,audio_duration_sec,ref_gen_similarity,ref_self_similarity
urduspeech,urduspeech_01,یا یہ طلسم ہے کہ اگر پھٹکری اور گندھک کو چراغ میں بتی کے آس پاس چھڑک دیجیے، تو کیسی ہی ہوا چلے، چراغ گل نہ ہوگا۔,10.804,0.7410902380943298,1.0
urduspeech,urduspeech_02,میں جان و دل سے اُسے چاہتی تھی، اُس کی بناوٹ کی باتوں کو مان لیا اور شرارت پر نظر نہ کی، بلکہ پھر دل داری سے پوچھا کہ کیا تجھ کو ایسی مشکل پیش آئی ہے کہ ابھی متفکر ہو رہا ہے؟,15.881,0.8016787171363831,1.0
urduspeech,urduspeech_03,سب آدمی اپنے اپنے عہدوں پر مستعد ہیں، باورچی خانے میں دے گے تھان تھنارھی ہے، آبدار خانے کی بھی تیاری ہے، کوری کوری ٹھلیاں روپے کی گھڑونچیوں پر صافیوں سے ڈھکی ہیں اور تجھروں سے ڈھکی رکھی ہیں۔,17.326,0.771393895149231,1.0000001192092896
urduspeech,urduspeech_04,تب انہوں نے فرمایا کہ مرتضیٰ رضی اللہ میرا نام ہے اور میرا یہی کام ہے کہ جس کو جو مشکل کٹھن پیش آوے تو میں اس کو آسان کر دوں۔,11.061,0.7393400073051453,1.0
urduspeech,urduspeech_05,تم سخاوت کا بوجھ نہیں اٹھا سکتے۔,2.91,0.7234218716621399,1.0
urduspeech,urduspeech_06,سوائے اِس بات کے زبان سے کچھ نہ نکلا، فی الحقیقت اب تو تقصیر ہوئی معاف کیجیے، پارے محلّی نے مہریان ہو کر اُس پری کے مکان کا نشان لگایا اور مجھے رخصت کیا،آپ اُن دونوں زخمیوں کے گھاؤں کے داغنے کی فکر میں رہا۔,18.427,0.7568398714065552,1.0000001192092896
urduspeech,urduspeech_07,آگے چوکی پر ڈونگے کٹورے، بمعِ تھالی، سریوش، دھرے برف کے آب خورے لگ رہے ہیں اور شورے کی صراحیاں ہل رہی ہیں۔,10.116,0.7862194776535034,1.0
urduspeech,urduspeech_08,"اور پھر ایک بار گئی، عاجز کو یوں سر بلند کیا؟
",3.8,0.7635068297386169,1.0000001192092896
urduspeech,urduspeech_09,سچ مچ یہ تماشا ہوا جیسے چودھویں رات کے چاند کو گرہن لگتا ہے۔,5.518,0.7456125617027283,1.0
urduspeech,urduspeech_10,جب یہ احوال ناامیدی کا سنا، ایسی بدحواس ہو گئی گویا مجھ پر قیامت ٹوٹی۔,6.446,0.7574817538261414,1.0
urduspeech,urduspeech_11,غرض بہتری خاک چھانی لیکن اُس گوہر نایاب کی نشانی نہ پائی۔,4.846,0.7320102453231812,1.0
urduspeech,urduspeech_12,نظر کی مجال نہ تھی جو اس کے جمال پر ٹھہرے۔,3.748,0.7277072072029114,1.0
urduspeech,urduspeech_13,بھلا ایک زخم اور بھی لگا، میں نے اپنا تیرا انصاف خدا کو سونپا۔,5.351,0.6804678440093994,1.0
urduspeech,urduspeech_14,میں ابتدا سے کہتا ہوں، تا انتہا سنو!,2.986,0.5965076684951782,1.0000001192092896
urduspeech,urduspeech_15,ہرچند انہوں نے میرے غائب ہونے کی کیفیت دور اندیشی اور مہر مادری سے چھپائی تھی کہ خدا جانے اس کا انجام کیا ہو، ابھی یہ رسوائی ظاہر کرنی خوب نہیں، میرے بدلے میرے عیبوں کو اپنے پیٹ میں رکھ چھوڑا تھا، لیکن میری تلاش میں تھیں۔,19.46,0.7971142530441284,1.0000001192092896
urduspeech,urduspeech_16,بارے خدا خدا کر کے صبح جب نزدیک ہوئی، مرغ بولا، آدمیوں کی آواز آنے لگی۔,7.015,0.7886583209037781,1.0
urduspeech,urduspeech_17,یہ دونوں کی باتیں حاتم نے سنیں، مروی ہے اور مروت سے بعید جانا کہ اپنے تائیں چھپائے اور جان کو بچائے اور ان دونوں بے چاروں کو مطلب تک نہ پہنچائے۔,12.389,0.7473154067993164,1.0
urduspeech,urduspeech_18,میرے طرف دھیان نہ کیا۔,2.407,0.6552615165710449,1.0
urduspeech,urduspeech_19,موافقِ قدر و منزلت کے ہر ایک کو سر فرازی ہوئی۔,4.107,0.7300598621368408,1.0
urduspeech,urduspeech_20,تو نے جان و مال سے میری خاطر کی اور جو کچھ اپنی بساط تھی، حاضر کی۔,5.631,0.8115913271903992,1.0000001192092896
urduspeech,urduspeech_21,جب نو فل کے روبرو لے گئے تو اس نے یہ پوچھا کے اس کو کون پکڑ لایا؟,5.468,0.6788137555122375,1.0
urduspeech,urduspeech_22,"سن کر مسکرایا اور بولا ""مناسب ہے کہ صاحب بھی اپنا لباس بدل ڈالیں۔""",6.303,0.7164105176925659,1.0
urduspeech,urduspeech_23,میں نے بہت منت کی اور ہاتھ جوڑ کر کہا، تمہاری تشفی دینے سے میری بھی زندگی ہوئی، نہیں تو سوائے مرنے کے کچھ سوجھتا نہ تھا، خدا تمہیں سلامت رکھے۔,11.433,0.7559859752655029,1.0
urduspeech,urduspeech_24,ساری رات دروازے گھروں کے بند نہ ہوتے اور دکانیں بازار کی کھلی رہتیں۔,6.252,0.8135007619857788,1.0
urduspeech,urduspeech_25,طاقت بدن میں مطلق نہ رہی،اپاہج ہو کر اسی مسجد کی دیوار کے تلے جا پڑا کہ ایک روز وہی خواجہ سرا جمعے کی نماز پڑھنے آیا، میرے پاس سے ہو کر چلا، میں یہ شعر آہستگی سے پڑھ رہا تھا؛ اس دردِ دل سے موت ہو یا دل کو تاب ہو، قسمت میں جو لکھا ہوا ہے، وہی شتاب ہو۔ اگرچہ ظاہر میں صورت میری بالکل تبدیل ہو گئی تھی، چہرے کی یہ شکل بنی تھی کہ جن نے مجھے پہلے دیکھا تھا، وہ بھی نہ پہچان سکتا کہ یہ وہی آدمی ہے۔,37.151,0.7700493335723877,1.0
urduspeech,urduspeech_26,حکم کرتے ہی تھوڑے دنوں میں ایسی نقب تیار ہوئی کہ جب سانجھ ہوتی تو چپکے ہی وہ خواجہ سر اس جوان کو اسی راہ سے لے آتا۔,10.157,0.7632439732551575,1.0
